peak_1,peak_2,Magnitude difference,instrument,note_played
"(156, 1.0)","(273, 0.7721408445598074)",117.00022187925423,0.0,Tbn-ord-C2-pp-N-T23d.wav
"(156, 1.0)","(233, 0.43064134869196763)",77.00210496651256,0.0,Tbn-ord-C2-pp-N-T23d.wav
"(156, 1.0)","(351, 0.36318153108691287)",195.00103983764382,0.0,Tbn-ord-C2-pp-N-T23d.wav
"(156, 1.0)","(39, 0.21020040140543678)",117.00266571068344,0.0,Tbn-ord-C2-pp-N-T23d.wav
"(156, 1.0)","(546, 0.1929007874322021)",390.0008351390275,0.0,Tbn-ord-C2-pp-N-T23d.wav
"(156, 1.0)","(429, 0.14588237023903172)",273.0013361083155,0.0,Tbn-ord-C2-pp-N-T23d.wav
"(156, 1.0)","(194, 0.11577377303653315)",38.010286187036925,0.0,Tbn-ord-C2-pp-N-T23d.wav
"(156, 1.0)","(624, 0.10506349323915119)",468.0008556737382,0.0,Tbn-ord-C2-pp-N-T23d.wav
"(156, 1.0)","(256, 0.07570840024973557)",100.00427148357899,0.0,Tbn-ord-C2-pp-N-T23d.wav
"(273, 0.7721408445598074)","(233, 0.43064134869196763)",40.00145774725814,0.0,Tbn-ord-C2-pp-N-T23d.wav
"(273, 0.7721408445598074)","(351, 0.36318153108691287)",78.00107209340187,0.0,Tbn-ord-C2-pp-N-T23d.wav
"(273, 0.7721408445598074)","(39, 0.21020040140543678)",234.00067473633842,0.0,Tbn-ord-C2-pp-N-T23d.wav
"(273, 0.7721408445598074)","(546, 0.1929007874322021)",273.0006145030516,0.0,Tbn-ord-C2-pp-N-T23d.wav
"(273, 0.7721408445598074)","(429, 0.14588237023903172)",156.00125704518106,0.0,Tbn-ord-C2-pp-N-T23d.wav
"(273, 0.7721408445598074)","(194, 0.11577377303653315)",79.00272664745553,0.0,Tbn-ord-C2-pp-N-T23d.wav
"(273, 0.7721408445598074)","(624, 0.10506349323915119)",351.0006338914399,0.0,Tbn-ord-C2-pp-N-T23d.wav
"(273, 0.7721408445598074)","(256, 0.07570840024973557)",17.014259259500182,0.0,Tbn-ord-C2-pp-N-T23d.wav
"(233, 0.43064134869196763)","(351, 0.36318153108691287)",118.00001928316364,0.0,Tbn-ord-C2-pp-N-T23d.wav
"(233, 0.43064134869196763)","(39, 0.21020040140543678)",194.00012524277204,0.0,Tbn-ord-C2-pp-N-T23d.wav
"(233, 0.43064134869196763)","(546, 0.1929007874322021)",313.0000902884446,0.0,Tbn-ord-C2-pp-N-T23d.wav
"(233, 0.43064134869196763)","(429, 0.14588237023903172)",196.0002068562067,0.0,Tbn-ord-C2-pp-N-T23d.wav
"(233, 0.43064134869196763)","(194, 0.11577377303653315)",39.00127102531659,0.0,Tbn-ord-C2-pp-N-T23d.wav
"(233, 0.43064134869196763)","(624, 0.10506349323915119)",391.0001355510506,0.0,Tbn-ord-C2-pp-N-T23d.wav
"(233, 0.43064134869196763)","(256, 0.07570840024973557)",23.002738476057363,0.0,Tbn-ord-C2-pp-N-T23d.wav
"(351, 0.36318153108691287)","(39, 0.21020040140543678)",312.00003750516765,0.0,Tbn-ord-C2-pp-N-T23d.wav
"(351, 0.36318153108691287)","(546, 0.1929007874322021)",195.0000743475029,0.0,Tbn-ord-C2-pp-N-T23d.wav
"(351, 0.36318153108691287)","(429, 0.14588237023903172)",78.00030268483133,0.0,Tbn-ord-C2-pp-N-T23d.wav
"(351, 0.36318153108691287)","(194, 0.11577377303653315)",157.00019493809154,0.0,Tbn-ord-C2-pp-N-T23d.wav
"(351, 0.36318153108691287)","(624, 0.10506349323915119)",273.0001220236384,0.0,Tbn-ord-C2-pp-N-T23d.wav
"(351, 0.36318153108691287)","(256, 0.07570840024973557)",95.00043495058827,0.0,Tbn-ord-C2-pp-N-T23d.wav
