peak_1,peak_2,Magnitude difference,instrument,note_played
"(587, 1.0)","(235, 0.7001763352474711)",352.0001276906444,1.0,TpC-ord-A3-pp-N-T10d.wav
"(587, 1.0)","(469, 0.6908478871127224)",118.00040497824108,1.0,TpC-ord-A3-pp-N-T10d.wav
"(587, 1.0)","(705, 0.4149694270339397)",118.00145024859359,1.0,TpC-ord-A3-pp-N-T10d.wav
"(587, 1.0)","(117, 0.3018187141375363)",470.0005185711053,1.0,TpC-ord-A3-pp-N-T10d.wav
"(587, 1.0)","(702, 0.23142166513608625)",115.00256828722053,1.0,TpC-ord-A3-pp-N-T10d.wav
"(587, 1.0)","(580, 0.19169596417842946)",7.046513706388815,1.0,TpC-ord-A3-pp-N-T10d.wav
"(587, 1.0)","(821, 0.1770093478516961)",234.00144724683548,1.0,TpC-ord-A3-pp-N-T10d.wav
"(587, 1.0)","(824, 0.15997997832001726)",237.00148867388327,1.0,TpC-ord-A3-pp-N-T10d.wav
"(587, 1.0)","(175, 0.14372103290637017)",412.0008898214535,1.0,TpC-ord-A3-pp-N-T10d.wav
"(235, 0.7001763352474711)","(469, 0.6908478871127224)",234.00000018594005,1.0,TpC-ord-A3-pp-N-T10d.wav
"(235, 0.7001763352474711)","(705, 0.4149694270339397)",470.0000865350777,1.0,TpC-ord-A3-pp-N-T10d.wav
"(235, 0.7001763352474711)","(117, 0.3018187141375363)",118.0006724082295,1.0,TpC-ord-A3-pp-N-T10d.wav
"(235, 0.7001763352474711)","(702, 0.23142166513608625)",467.0002352579073,1.0,TpC-ord-A3-pp-N-T10d.wav
"(235, 0.7001763352474711)","(580, 0.19169596417842946)",345.00037471325703,1.0,TpC-ord-A3-pp-N-T10d.wav
"(235, 0.7001763352474711)","(821, 0.1770093478516961)",586.0002335355308,1.0,TpC-ord-A3-pp-N-T10d.wav
"(235, 0.7001763352474711)","(824, 0.15997997832001726)",589.0002477182027,1.0,TpC-ord-A3-pp-N-T10d.wav
"(235, 0.7001763352474711)","(175, 0.14372103290637017)",60.00258029871302,1.0,TpC-ord-A3-pp-N-T10d.wav
"(469, 0.6908478871127224)","(705, 0.4149694270339397)",236.00016124766682,1.0,TpC-ord-A3-pp-N-T10d.wav
"(469, 0.6908478871127224)","(117, 0.3018187141375363)",352.0002149767773,1.0,TpC-ord-A3-pp-N-T10d.wav
"(469, 0.6908478871127224)","(702, 0.23142166513608625)",233.0004529447388,1.0,TpC-ord-A3-pp-N-T10d.wav
"(469, 0.6908478871127224)","(580, 0.19169596417842946)",111.00112230352524,1.0,TpC-ord-A3-pp-N-T10d.wav
"(469, 0.6908478871127224)","(821, 0.1770093478516961)",352.00037504247695,1.0,TpC-ord-A3-pp-N-T10d.wav
"(469, 0.6908478871127224)","(824, 0.15997997832001726)",355.00039693039304,1.0,TpC-ord-A3-pp-N-T10d.wav
"(469, 0.6908478871127224)","(175, 0.14372103290637017)",294.000509094448,1.0,TpC-ord-A3-pp-N-T10d.wav
"(705, 0.4149694270339397)","(117, 0.3018187141375363)",588.0000108869759,1.0,TpC-ord-A3-pp-N-T10d.wav
"(705, 0.4149694270339397)","(702, 0.23142166513608625)",3.0056097186590462,1.0,TpC-ord-A3-pp-N-T10d.wav
"(705, 0.4149694270339397)","(580, 0.19169596417842946)",125.00019940399781,1.0,TpC-ord-A3-pp-N-T10d.wav
"(705, 0.4149694270339397)","(821, 0.1770093478516961)",116.000244073016,1.0,TpC-ord-A3-pp-N-T10d.wav
"(705, 0.4149694270339397)","(824, 0.15997997832001726)",119.0002731913627,1.0,TpC-ord-A3-pp-N-T10d.wav
"(705, 0.4149694270339397)","(175, 0.14372103290637017)",530.000069411025,1.0,TpC-ord-A3-pp-N-T10d.wav
"(117, 0.3018187141375363)","(702, 0.23142166513608625)",585.0000042356791,1.0,TpC-ord-A3-pp-N-T10d.wav
"(117, 0.3018187141375363)","(580, 0.19169596417842946)",463.0000130961338,1.0,TpC-ord-A3-pp-N-T10d.wav
"(117, 0.3018187141375363)","(821, 0.1770093478516961)",704.0000110634786,1.0,TpC-ord-A3-pp-N-T10d.wav
"(117, 0.3018187141375363)","(824, 0.15997997832001726)",707.0000142278832,1.0,TpC-ord-A3-pp-N-T10d.wav
"(117, 0.3018187141375363)","(175, 0.14372103290637017)",58.000215472675706,1.0,TpC-ord-A3-pp-N-T10d.wav
"(702, 0.23142166513608625)","(580, 0.19169596417842946)",122.00000646775112,1.0,TpC-ord-A3-pp-N-T10d.wav
"(702, 0.23142166513608625)","(821, 0.1770093478516961)",119.00001243991646,1.0,TpC-ord-A3-pp-N-T10d.wav
"(702, 0.23142166513608625)","(824, 0.15997997832001726)",122.00002091768106,1.0,TpC-ord-A3-pp-N-T10d.wav
"(702, 0.23142166513608625)","(175, 0.14372103290637017)",527.0000072973443,1.0,TpC-ord-A3-pp-N-T10d.wav
"(580, 0.19169596417842946)","(821, 0.1770093478516961)",241.00000044750354,1.0,TpC-ord-A3-pp-N-T10d.wav
"(580, 0.19169596417842946)","(824, 0.15997997832001726)",244.0000020612782,1.0,TpC-ord-A3-pp-N-T10d.wav
"(580, 0.19169596417842946)","(175, 0.14372103290637017)",405.0000028414741,1.0,TpC-ord-A3-pp-N-T10d.wav
"(821, 0.1770093478516961)","(824, 0.15997997832001726)",3.00004833284843,1.0,TpC-ord-A3-pp-N-T10d.wav
"(821, 0.1770093478516961)","(175, 0.14372103290637017)",646.0000008576718,1.0,TpC-ord-A3-pp-N-T10d.wav
"(824, 0.15997997832001726)","(175, 0.14372103290637017)",649.000000203662,1.0,TpC-ord-A3-pp-N-T10d.wav
"(585, 1.0)","(702, 0.9368005202533347)",117.00001706911944,1.0,TpC-ord-A3-pp-N-T10d.wav
"(585, 1.0)","(468, 0.8722460362917138)",117.00006974816401,1.0,TpC-ord-A3-pp-N-T10d.wav
"(585, 1.0)","(351, 0.5925628775006099)",234.0003547112884,1.0,TpC-ord-A3-pp-N-T10d.wav
"(585, 1.0)","(819, 0.516959994819281)",234.00049856281632,1.0,TpC-ord-A3-pp-N-T10d.wav
"(585, 1.0)","(700, 0.2523274253661997)",115.00243047118117,1.0,TpC-ord-A3-pp-N-T10d.wav
"(585, 1.0)","(583, 0.2515876112649762)",2.135444006199194,1.0,TpC-ord-A3-pp-N-T10d.wav
"(585, 1.0)","(234, 0.17495290728103738)",351.0009696606338,1.0,TpC-ord-A3-pp-N-T10d.wav
"(585, 1.0)","(705, 0.15554090240941032)",120.00297125974633,1.0,TpC-ord-A3-pp-N-T10d.wav
"(585, 1.0)","(936, 0.11237916712417839)",351.00112232120136,1.0,TpC-ord-A3-pp-N-T10d.wav
