10_freq,10_peak,note_played
"[61, 122, 91, 57, 1, 183, 71, 68, 41, 117]","[1.0, 0.40228791863066266, 0.029935438361971985, 0.018470516446504333, 0.01407992865299341, 0.013802695633189277, 0.009580226318250928, 0.006538977387739653, 0.005945294490052459, 0.005097585471545203]",A#3
"[122, 62, 184, 59, 119, 181, 10, 70, 81, 16]","[1.0, 0.07412847656465067, 0.06393732006925061, 0.015770356398383194, 0.01091844159788603, 0.010711005145832562, 0.009386818086203102, 0.007789568276961446, 0.0015287159676087782, 0.0013545196069275546]",A#3
"[61, 122, 185, 118, 58, 70, 67, 10, 367, 180]","[1.0, 0.5071037600424011, 0.1333616339596516, 0.019701233493732727, 0.014106267381240127, 0.00921329057938965, 0.008696983989707181, 0.0055746737179618745, 0.004600065973422557, 0.0029841750645950636]",A#3
"[61, 123, 70, 121, 59, 245, 91, 10, 66, 57]","[1.0, 0.9379111001162344, 0.3696765891697849, 0.21769053942695535, 0.1895827014993862, 0.10598539257218097, 0.05976642538384208, 0.056657274255160414, 0.052719021020082954, 0.04452363405363339]",A#3
"[62, 123, 10, 242, 69, 247, 181, 5, 183, 121]","[1.0, 0.22713015791869223, 0.013641209107209359, 0.006865211409086511, 0.0031797003983524245, 0.003008277546887573, 0.002921690184035219, 0.002574065511577538, 0.002332920333401517, 0.0023092372909787593]",A#3
"[61, 122, 117, 125, 245, 4, 10, 184, 114, 95]","[1.0, 0.22336653480711413, 0.017301915220816356, 0.008310889432395293, 0.0032277109883497683, 0.0031983463950450946, 0.0021621515965177386, 0.0018423904252996657, 0.0014810202026257937, 0.0012072148924139356]",A#3
"[62, 122, 184, 64, 11, 168, 119, 182, 306, 72]","[1.0, 0.1222940566945736, 0.11545074055575197, 0.029395184894938284, 0.008097826036863055, 0.0034913556062990737, 0.003245545584368288, 0.0023103960658030086, 0.002012030294483835, 0.001981264816645358]",A#3
"[61, 122, 120, 59, 184, 2, 125, 66, 63, 69]","[1.0, 0.36977081877169593, 0.13323338858641182, 0.09242100115967718, 0.05839392057448981, 0.045870138092819035, 0.03680927408267494, 0.03154441534306056, 0.03095031190446313, 0.030809412591883554]",A#3
"[61, 123, 120, 184, 103, 2, 6, 70, 307, 115]","[1.0, 0.6086854101683705, 0.06774266871748809, 0.01194742325474795, 0.01061024933665902, 0.00552407062547519, 0.0032486908748094677, 0.0032350193778808048, 0.0030734539636138505, 0.0026653750467122792]",A#3
"[62, 184, 122, 2, 14, 368, 306, 12, 117, 18]","[1.0, 0.09363945425793532, 0.0792394787895949, 0.002601814099968981, 0.0017778695440660611, 0.0011604476087542493, 0.0010158319748597108, 0.0008580045391013577, 0.0008577101111963482, 0.0006695572133382339]",A#3
"[61, 122, 184, 66, 2, 7, 113, 306, 4, 11]","[1.0, 0.5538550229518925, 0.28972122880980766, 0.022840580529379848, 0.01713772936510116, 0.009748304881473735, 0.008597244406728363, 0.006860835346080296, 0.00675123426281715, 0.006379833613727418]",A#3
"[61, 123, 90, 64, 1, 115, 247, 15, 181, 103]","[1.0, 0.5235140617421302, 0.2621362656373942, 0.01801934357263087, 0.005450608840584293, 0.0051315400270962154, 0.004702033524453663, 0.003769732764214339, 0.0030616616059139703, 0.002802807101578005]",A#3
"[62, 123, 244, 5, 183, 246, 10, 71, 14, 12]","[1.0, 0.1661492803128251, 0.0031449861278290913, 0.002887924330267358, 0.0019807667049713817, 0.001628294440027878, 0.0015641371259412047, 0.0015212624645657283, 0.0013846444378617982, 0.0007857758822362563]",A#3
"[61, 122, 307, 119, 182, 13, 1, 6, 240, 17]","[1.0, 0.5174225381757211, 0.15554942933994562, 0.011204876153682482, 0.004192950016901187, 0.003653478874752644, 0.002322663623583367, 0.0022527186097793337, 0.001331076882956468, 0.0012686466414385971]",A#3
"[122, 59, 117, 62, 245, 70, 4, 1190, 6, 182]","[1.0, 0.6009179303470988, 0.1423374290719101, 0.13574125535569467, 0.06750243929995217, 0.05790460953476219, 0.04610082350771823, 0.0421094545667675, 0.023955538953442726, 0.021318657540120002]",A#3
