10_freq,10_peak,note_played
"[173, 58, 117, 230, 287, 115, 171, 64, 232, 227]","[1.0, 0.6197005211842914, 0.3120104065335486, 0.2533562112082801, 0.1101286237255243, 0.0957055069846536, 0.08221484946423627, 0.06743122548142776, 0.050182994922925, 0.03800816080997969]",A3
"[172, 57, 230, 103, 288, 226, 285, 115, 517, 127]","[1.0, 0.6447537860506573, 0.5984013311819374, 0.07436794597338914, 0.02526927533692006, 0.02337601076302675, 0.014595495263757079, 0.006659686267690885, 0.006152687442196067, 0.004351542271119244]",A3
"[115, 57, 174, 288, 230, 172, 160, 346, 232, 117]","[1.0, 0.3230523986708096, 0.22503877243341117, 0.12309886003065838, 0.09278202108036579, 0.018592647319059248, 0.014581128669745405, 0.014408151035225305, 0.010407690916098198, 0.008024054982163424]",A3
"[116, 231, 58, 174, 289, 62, 404, 235, 346, 5]","[1.0, 0.2854088951227206, 0.17532781622592675, 0.08297354257363801, 0.026912814159021532, 0.007626987763082481, 0.0037315355200900485, 0.0032621147408602, 0.0029510739928541706, 0.0018809305259927193]",A3
"[58, 173, 116, 233, 210, 347, 114, 288, 405, 229]","[1.0, 0.6069847024707299, 0.29611244850332014, 0.2725293353484472, 0.12290799704639777, 0.01609075673528823, 0.010147663344954757, 0.007209551919940418, 0.004789745490206197, 0.003914106286972277]",A3
"[58, 174, 115, 153, 231, 289, 462, 228, 809, 3]","[1.0, 0.4765639077108946, 0.33275413283610344, 0.1661762146777465, 0.05327977484250722, 0.009552332526338572, 0.002524227539334379, 0.0019909372425765486, 0.001983109582270839, 0.001651636651635898]",A3
"[58, 115, 172, 289, 174, 229, 259, 346, 749, 4]","[1.0, 0.39528806852530984, 0.32101240346051874, 0.11947493896646343, 0.11025512223915103, 0.02349282364873947, 0.010972692768356544, 0.00586306443964379, 0.002756044367604033, 0.0026100910881837473]",A3
"[116, 173, 231, 62, 57, 346, 186, 288, 169, 176]","[1.0, 0.22487239316853394, 0.19831789743705128, 0.07839766237829927, 0.04696693918368891, 0.014781738212247925, 0.012489873253970642, 0.006266543946009314, 0.0030928966438774396, 0.0025334087173606305]",A3
"[174, 116, 57, 288, 118, 229, 101, 751, 120, 112]","[1.0, 0.4953408338618142, 0.3134245739623437, 0.22131027187031604, 0.015221705861833662, 0.015026067461590763, 0.012151646203786688, 0.010668166872496684, 0.00518430315864278, 0.0048800517491670616]",A3
"[115, 173, 57, 231, 289, 216, 347, 170, 866, 4]","[1.0, 0.6609309806616221, 0.22187894222903914, 0.17748314316435757, 0.018763524168656894, 0.01634855041862975, 0.00588337791970305, 0.002222901234172616, 0.0015812918210380102, 0.0008935756857860222]",A3
"[174, 116, 287, 91, 57, 229, 232, 347, 176, 315]","[1.0, 0.9740672022355046, 0.3041509092243378, 0.2894233133674774, 0.25975248249767335, 0.048501671437869286, 0.022925169830091373, 0.01979514796206491, 0.018672590613755813, 0.009403762294848775]",A3
"[116, 58, 231, 173, 171, 187, 404, 175, 288, 346]","[1.0, 0.46280621889368, 0.16794105323142253, 0.15323569889899474, 0.020341639908804263, 0.011082339104139204, 0.010929658114369209, 0.008915611944208882, 0.005159398587722658, 0.003906907820885167]",A3
"[58, 173, 115, 289, 230, 404, 233, 346, 520, 185]","[1.0, 0.3254545682671749, 0.16047341688996855, 0.11064635005719527, 0.03630846734550587, 0.008237586276978284, 0.006559742253770339, 0.0040071955556127605, 0.0024797809193816403, 0.0016501382552791548]",A3
"[58, 115, 231, 149, 174, 404, 288, 520, 6, 4]","[1.0, 0.5046861962338707, 0.49187891976234444, 0.38317746286106424, 0.09079677848600223, 0.012549822830833699, 0.007848621598853859, 0.0023939979098508432, 0.0019835627113816553, 0.0018391552235483889]",A3
"[173, 58, 116, 288, 225, 404, 321, 347, 7, 229]","[1.0, 0.3659701241296129, 0.3296412450320392, 0.15253583745709048, 0.03721470855188007, 0.01660316907248618, 0.006981037449986267, 0.004144796400969338, 0.0037994386383384707, 0.0036471851413866336]",A3
"[116, 174, 84, 57, 231, 289, 233, 347, 188, 809]","[1.0, 0.5170171689096666, 0.4438029519275676, 0.16296899867075398, 0.029016414293436796, 0.028799795330098597, 0.007864462873315712, 0.004988813267039716, 0.0017999775546333199, 0.0017636877737455575]",A3
"[115, 174, 57, 288, 346, 171, 405, 387, 229, 232]","[1.0, 0.25821733803470653, 0.2504942922864543, 0.044813306775379196, 0.022388856577728086, 0.010032256942457171, 0.005880467878320079, 0.0042418833824445, 0.00416848998677512, 0.003931078579934828]",A3
"[115, 173, 57, 231, 289, 808, 285, 233, 227, 185]","[1.0, 0.6204705459380522, 0.21803282304166838, 0.11046978826242783, 0.010851713094331259, 0.00661293037472474, 0.0035511427830762347, 0.0029384563807933416, 0.0023421818567592938, 0.0019060391492507303]",A3
"[116, 174, 78, 57, 289, 347, 405, 242, 635, 5]","[1.0, 0.8985496331554821, 0.255029728796027, 0.09717411145745714, 0.035865610647572044, 0.011877073491647634, 0.011046018994985233, 0.0068773340465957565, 0.0019674064948592617, 0.0018682443974298202]",A3
"[116, 58, 173, 231, 347, 288, 229, 311, 809, 14]","[1.0, 0.7465051627883579, 0.39074870681826446, 0.18283657251106292, 0.026432888209873977, 0.007851002981082544, 0.002431645909288728, 0.0022892583391993355, 0.0018612503175283466, 0.0015826054674554228]",A3
"[58, 289, 115, 175, 161, 232, 230, 404, 346, 693]","[1.0, 0.28693586730658316, 0.2479782342659645, 0.041512548865031994, 0.024008789889799643, 0.014430370676328037, 0.011053191502203042, 0.008813435107500876, 0.0036039975248977926, 0.002901569496983163]",A3
