10_freq,10_peak,note_played
"[93, 108, 61, 76, 91, 154, 120, 46, 105, 132]","[1.0, 0.37937018281229307, 0.3791965293789557, 0.3737265134712029, 0.2881227731006472, 0.2104651538357606, 0.12525553783544643, 0.12100898573305081, 0.10494276788532862, 0.08924032778393967]",B1
"[77, 108, 46, 92, 154, 31, 123, 59, 134, 171]","[1.0, 0.9258292199963056, 0.5538017307903191, 0.5400673715062402, 0.3588045453320243, 0.3290034260899625, 0.24555539266851598, 0.13120946388438715, 0.09416585859772685, 0.09378978214675383]",B1
"[93, 46, 139, 110, 155, 76, 78, 16, 60, 171]","[1.0, 0.6505232831150264, 0.5403179729803479, 0.4878669443756436, 0.260539052674948, 0.19441264236533204, 0.1657769289449238, 0.14585285912106669, 0.10217785561272191, 0.09504716924554996]",B1
"[78, 47, 109, 31, 125, 94, 63, 16, 156, 173]","[1.0, 0.7877121631851116, 0.7458239504515072, 0.4161343215933578, 0.39821203515716574, 0.2579459454040453, 0.14420905363983594, 0.08666969185593544, 0.08266148609520399, 0.06870293300403853]",B1
"[93, 125, 78, 108, 63, 116, 40, 171, 156, 28]","[1.0, 0.6487318539811565, 0.4230641870819793, 0.33735054488818156, 0.24368176993227153, 0.17812752146139724, 0.1447194881861359, 0.14194639019799488, 0.05660004380135711, 0.0378844885281198]",B1
"[109, 53, 46, 63, 172, 94, 77, 24, 124, 92]","[1.0, 0.4525546584555412, 0.32899196563796124, 0.2676980989949983, 0.16730310218938238, 0.15610603313657284, 0.1092010007291268, 0.08336560949309553, 0.06997597156709902, 0.06671645412040624]",B1
"[94, 47, 123, 63, 31, 85, 155, 139, 37, 172]","[1.0, 0.8664929574048861, 0.6702878757974248, 0.49154238352663326, 0.4890137154874369, 0.25240931958378354, 0.14527315668164226, 0.1427209895427373, 0.1354976148341925, 0.09979878299674506]",B1
"[93, 77, 109, 48, 16, 170, 91, 125, 186, 141]","[1.0, 0.7711363702845734, 0.41723314128588596, 0.19986773139207117, 0.1273363421527446, 0.08075703949223294, 0.057540961918715196, 0.05714557396710443, 0.05528403422249414, 0.04344510302348697]",B1
"[109, 31, 76, 46, 95, 61, 140, 89, 155, 186]","[1.0, 0.5672731312572016, 0.4348946470009655, 0.3756513151101712, 0.31143365063803297, 0.261588622923042, 0.2541702575878307, 0.07177367560314106, 0.06587307694601874, 0.06387234208414254]",B1
"[93, 46, 78, 125, 108, 68, 186, 30, 15, 164]","[1.0, 0.5038580449758705, 0.40645494983532043, 0.24203452877990655, 0.23064151855109996, 0.2097336158895359, 0.09300326037377857, 0.08843095717401887, 0.07234497498697619, 0.05184605454991447]",B1
