index,rms,spec_cent,spec_bw,rolloff,zcr,mfccs_0,mfccs_1,mfccs_2,mfccs_3,mfccs_4,mfccs_5,mfccs_6,mfccs_7,mfccs_8,mfccs_9,mfccs_10,mfccs_11,mfccs_12,instrument,note_played
0,0.0004394833,2657.8754577958007,2112.5595790016814,3983.642578125,0.15185546875,-708.56903,86.232704,-21.906773,6.5417547,-8.331795,-5.2534213,-8.146604,-21.866753,-0.15631217,20.854454,-21.833324,-15.927161,25.494019,62,Va-ord-B6-mf-1c-T17u
1,0.0007169788,2848.217329623063,2092.800358591622,4026.708984375,0.22998046875,-655.64795,88.11131,-27.505552,10.014588,-10.135813,-2.8971953,-7.916856,-22.135231,-1.628844,19.181469,-23.678007,-14.946333,25.829792,62,Va-ord-B6-mf-1c-T17u
2,0.0013615598,2906.7935770663694,2096.790162074355,4155.908203125,0.275390625,-631.9508,81.952515,-33.604145,8.966097,-8.979283,0.39668775,-8.35495,-24.446283,-3.071115,13.646425,-26.353653,-13.535061,24.0007,62,Va-ord-B6-mf-1c-T17u
3,0.0021499565,2849.3520442128383,1980.852185968872,4037.4755859375,0.25732421875,-614.64264,80.3418,-37.8034,6.9966564,-7.2350264,2.9450076,-12.203708,-23.782558,-2.1161532,9.121641,-29.469828,-15.335375,23.114048,62,Va-ord-B6-mf-1c-T17u
4,0.0023291325,2837.849230594866,1903.1998775313891,4015.9423828125,0.22998046875,-605.125,72.21373,-37.902588,4.0633183,-8.2632065,4.459985,-12.667036,-21.67587,1.9806988,10.531269,-28.169155,-13.954944,22.405094,62,Va-ord-B6-mf-1c-T17u
5,0.0024228264,2843.611328082823,1902.452486309717,4005.17578125,0.24169921875,-607.8001,72.83667,-36.895706,3.8271532,-9.935062,4.528311,-10.451034,-23.712673,2.9664066,10.394437,-31.066856,-18.289577,19.95929,62,Va-ord-B6-mf-1c-T17u
6,0.0023925896,2978.4958433572515,2007.7364240465806,4048.2421875,0.27880859375,-602.26324,75.34218,-39.13093,8.935476,-10.929186,2.495678,-7.6741056,-23.435932,-0.31419808,6.3231874,-30.693426,-12.377365,20.1461,62,Va-ord-B6-mf-1c-T17u
7,0.002819807,3108.683695178578,2013.5029187800938,4080.5419921875,0.279296875,-596.3948,69.29187,-41.4785,9.390129,-12.144703,-3.0012314,-6.8836927,-18.474447,-0.7403755,6.9709272,-22.909698,-3.1463604,24.848537,62,Va-ord-B6-mf-1c-T17u
8,0.0038132016,2934.4204209086993,1910.3424345035774,4015.9423828125,0.2626953125,-586.63654,63.55418,-41.86951,8.0884,-11.305926,-1.8511356,-9.417749,-14.6307335,0.543061,6.0356836,-23.059639,-3.4321654,26.188015,62,Va-ord-B6-mf-1c-T17u
9,0.0045071766,2901.263281095174,1868.3159811796163,4005.17578125,0.2177734375,-581.3681,57.55258,-39.093544,8.096089,-13.477705,-2.1473699,-13.865063,-16.79674,-0.8966036,1.9043974,-24.683924,-4.339235,22.146343,62,Va-ord-B6-mf-1c-T17u
10,0.005042215,2962.9654433352475,1881.1522017205316,4015.9423828125,0.18017578125,-581.49866,51.445335,-41.429123,7.0392027,-16.099188,-2.3986142,-17.966446,-20.899471,0.38135266,2.7726474,-27.439117,-0.60955226,21.993708,62,Va-ord-B6-mf-1c-T17u
11,0.005864183,3032.6408024111233,1920.225547641114,4048.2421875,0.18017578125,-585.40704,49.580597,-42.94742,3.6057034,-15.660526,-4.418488,-13.562048,-15.134494,4.3405943,3.4827104,-25.630997,1.254884,24.463837,62,Va-ord-B6-mf-1c-T17u
12,0.0070925876,3022.297192551802,1971.4008782224362,4145.1416015625,0.17919921875,-584.13837,46.345474,-37.992367,4.257115,-9.771387,-1.6320401,-12.420765,-15.796189,0.052728727,-1.8396845,-30.672089,-6.4526787,26.267365,62,Va-ord-B6-mf-1c-T17u
13,0.008435235,2960.460905940501,1978.7107102217187,4166.6748046875,0.17919921875,-574.63696,42.843887,-37.136337,1.9927924,-10.849567,-3.9754403,-19.45136,-18.578747,1.6396921,-0.2693804,-33.849064,-5.1297817,26.336914,62,Va-ord-B6-mf-1c-T17u
14,0.009513584,3001.065624763696,1969.4767996313847,4155.908203125,0.1796875,-558.92145,42.734108,-42.04503,-1.5359894,-15.7429905,-10.102614,-19.565346,-14.118317,2.1173556,0.5247389,-31.207651,-6.181547,24.142431,62,Va-ord-B6-mf-1c-T17u
15,0.0102126505,3046.504677417585,1957.726014305142,4328.173828125,0.18017578125,-547.70575,44.120308,-38.85142,-0.22248563,-14.226526,-5.0614724,-20.037687,-15.249352,0.96029824,4.3004503,-29.208416,-3.9266484,28.835146,62,Va-ord-B6-mf-1c-T17u
