index,rms,spec_cent,spec_bw,rolloff,zcr,mfccs_0,mfccs_1,mfccs_2,mfccs_3,mfccs_4,mfccs_5,mfccs_6,mfccs_7,mfccs_8,mfccs_9,mfccs_10,mfccs_11,mfccs_12,instrument,note_played
0,0.08259338,635.3970887747979,1004.4633994895089,839.794921875,0.01220703125,-386.317,180.13405,14.81346,-19.057568,-3.0094905,-12.116514,-17.138454,-14.535291,-17.698782,-15.129475,-15.089071,-18.535925,-15.476055,27,BTb-ord-C#4-ff-N-T21u
1,0.11847069,738.4900894734352,1047.7887325062113,1108.9599609375,0.0185546875,-305.64124,162.37436,-26.662834,-6.517164,-9.118254,-14.141793,-19.359972,-13.748209,-28.556559,-7.259649,-14.789333,-18.985748,-12.406239,27,BTb-ord-C#4-ff-N-T21u
2,0.14546426,1008.1648445614103,1401.7536785259756,1668.8232421875,0.02490234375,-260.83563,117.41489,-37.935394,0.92538214,-17.761906,-9.996792,-23.051151,-11.897577,-32.260372,-3.0460663,-14.336367,-18.909105,-11.07585,27,BTb-ord-C#4-ff-N-T21u
3,0.16682197,1106.0179986691996,1531.020616113048,1884.1552734375,0.02490234375,-260.2061,91.84303,-37.997673,4.9440327,-18.270828,-9.175449,-22.602299,-12.534712,-31.201866,-3.789094,-15.556395,-18.2893,-11.44812,27,BTb-ord-C#4-ff-N-T21u
4,0.17268915,1198.2732914025942,1725.071197727546,1970.2880859375,0.025390625,-257.8895,69.04756,-23.267384,1.9003649,-18.504604,-15.39102,-26.993826,-17.272223,-31.059704,-8.302185,-17.995821,-13.922653,-8.319111,27,BTb-ord-C#4-ff-N-T21u
5,0.17291215,1349.2297108060266,1914.1203755028394,2519.384765625,0.025390625,-238.90117,61.283813,-24.029953,-1.5197588,-19.2987,-15.688515,-25.234539,-15.896907,-32.356617,-8.427228,-19.00383,-14.812443,-10.680051,27,BTb-ord-C#4-ff-N-T21u
6,0.17174187,1445.6991892854167,1981.6794535932972,2788.5498046875,0.025390625,-233.33527,57.88679,-30.584946,-2.4522045,-22.669455,-11.124055,-24.970715,-14.822574,-32.928005,-9.493405,-19.03861,-16.265049,-12.2445965,27,BTb-ord-C#4-ff-N-T21u
7,0.16936621,1318.1878150805342,1795.8737865420221,2487.0849609375,0.025390625,-248.0246,62.586006,-35.344498,4.9012575,-21.733307,-9.340195,-29.062971,-15.936211,-35.30136,-10.420027,-17.900234,-13.652843,-9.321157,27,BTb-ord-C#4-ff-N-T21u
8,0.17148925,1114.4899284966793,1525.6462521225021,1948.7548828125,0.025390625,-268.55844,73.36124,-39.357468,14.263773,-16.59332,-5.2438765,-31.282616,-22.11267,-33.720875,-6.3412046,-16.085682,-12.322121,-8.619366,27,BTb-ord-C#4-ff-N-T21u
9,0.17165373,1093.939510819063,1508.292144852943,1937.98828125,0.02490234375,-267.7454,74.69503,-40.64522,13.677015,-19.58714,-4.2152843,-31.49325,-21.4021,-29.557812,-6.44905,-16.077124,-13.795573,-12.960801,27,BTb-ord-C#4-ff-N-T21u
10,0.17501767,1014.8281760498982,1410.4280093053956,1851.85546875,0.025390625,-279.90808,79.85112,-39.632477,14.568329,-21.507608,-9.361998,-36.805714,-20.873514,-30.481781,-12.269982,-19.254625,-15.121955,-14.202869,27,BTb-ord-C#4-ff-N-T21u
11,0.1742413,964.7614490937053,1306.5454135078699,1668.8232421875,0.02490234375,-288.68256,86.030815,-42.767525,11.953356,-23.311031,-7.3475137,-35.404762,-17.557138,-28.47034,-12.081176,-18.709688,-16.656689,-11.67182,27,BTb-ord-C#4-ff-N-T21u
12,0.17148924,930.6324257611726,1253.95625973953,1647.2900390625,0.02490234375,-293.1195,92.01973,-43.25967,10.58766,-22.345076,-2.8818207,-33.434757,-17.063614,-27.100597,-7.7158823,-19.452217,-18.395168,-8.485167,27,BTb-ord-C#4-ff-N-T21u
13,0.16912355,860.7078494135021,1151.8109857712911,1388.8916015625,0.02490234375,-304.53043,104.77427,-45.36882,14.92829,-22.954147,-6.6874185,-32.53299,-16.467182,-25.272255,-8.753762,-15.923283,-17.642017,-11.046232,27,BTb-ord-C#4-ff-N-T21u
14,0.1655562,812.2573965458417,1070.1913347582208,1378.125,0.02490234375,-315.4369,114.432274,-50.753326,8.794047,-22.937683,-9.475653,-27.5145,-18.845745,-19.24322,-12.090315,-13.0265255,-15.00313,-13.451397,27,BTb-ord-C#4-ff-N-T21u
15,0.16526464,777.6047549429226,1021.6326117748621,1378.125,0.025390625,-327.96362,115.16621,-51.604866,9.7728615,-20.753712,-14.346496,-26.131771,-27.42316,-22.005419,-14.477953,-12.934576,-13.690047,-16.208185,27,BTb-ord-C#4-ff-N-T21u
16,0.16300616,761.3832550165793,999.8764043729003,1119.7265625,0.025390625,-336.13754,115.20412,-47.29046,14.990646,-20.633816,-19.659729,-21.491405,-29.011383,-23.942707,-11.2769785,-12.274238,-13.352617,-17.583042,27,BTb-ord-C#4-ff-N-T21u
