10_freq,10_peak,note_played
"[281, 140, 169, 562, 420, 843, 470, 283, 701, 1124]","[1.0, 0.5265320177677385, 0.5199613844617358, 0.4885377616113558, 0.35765211305041833, 0.15775073658417368, 0.11873702577406191, 0.10184532802374693, 0.06771084898294646, 0.06319843795015101]",C#5
"[281, 561, 140, 702, 193, 982, 419, 1261, 606, 840]","[1.0, 0.8892889480837382, 0.4498915804881009, 0.24345300976280618, 0.124037429589041, 0.11397940235618448, 0.09972566026744246, 0.07247882340971899, 0.045710140101869176, 0.04270761567299655]",C#5
"[419, 421, 699, 560, 140, 701, 840, 369, 280, 558]","[1.0, 0.5719344463849899, 0.5216236755449006, 0.3957502116893882, 0.3640853194947441, 0.23280622486693875, 0.16068561970574385, 0.15508272963860736, 0.14381338901503735, 0.13582462050469307]",C#5
"[279, 559, 418, 140, 556, 839, 1257, 698, 837, 420]","[1.0, 0.7579985626653336, 0.4157623669312261, 0.32233896685464697, 0.17050410877524524, 0.08264458171494508, 0.08080741093910376, 0.062169782032488456, 0.031971874984782524, 0.02988983469731099]",C#5
"[419, 559, 140, 280, 838, 698, 1117, 977, 1396, 1255]","[1.0, 0.38918633339508085, 0.35592764484987244, 0.26640442909719714, 0.11133351423650326, 0.08199647950417949, 0.06823602389629148, 0.047752228497923384, 0.027341524723836337, 0.019905085835993173]",C#5
"[698, 558, 838, 281, 978, 254, 139, 421, 1118, 976]","[1.0, 0.6258529397172159, 0.4396238331927585, 0.39367948232504196, 0.1765088611292215, 0.14128081204254128, 0.13650997660259812, 0.08491011344968119, 0.07735013003344157, 0.045968832118450896]",C#5
"[279, 558, 417, 139, 419, 698, 275, 838, 978, 1118]","[1.0, 0.39518216490007396, 0.3249125788169613, 0.2764943163793684, 0.25074427122737786, 0.18267874981346455, 0.11720948266129015, 0.11018551518418725, 0.06898277039327642, 0.06565076966511946]",C#5
"[697, 417, 421, 278, 558, 1115, 836, 1254, 140, 355]","[1.0, 0.5321297675201847, 0.4589727503999566, 0.34347829562257187, 0.292503296381385, 0.08602135340610954, 0.07448220253796793, 0.07136995147592662, 0.06144734353182435, 0.057456441291790485]",C#5
"[140, 419, 557, 278, 700, 359, 561, 839, 837, 698]","[1.0, 0.9821969086961895, 0.8079249469362682, 0.6070566638669422, 0.4168360730090984, 0.39083728763755704, 0.24832295540293622, 0.15832274676976676, 0.11947304032943142, 0.10293242627545329]",C#5
"[421, 140, 280, 700, 981, 283, 558, 841, 184, 1263]","[1.0, 0.5215237104941519, 0.2820747111772554, 0.19788578926546585, 0.1472954936299012, 0.12165118478110501, 0.08125962275637236, 0.05063305274866645, 0.04348550525170375, 0.041536548500792976]",C#5
"[281, 140, 701, 421, 178, 560, 1121, 1262, 982, 978]","[1.0, 0.570148383464204, 0.5241217198731148, 0.36282484626734446, 0.15062734959089732, 0.1390280684735672, 0.07053891695497487, 0.04796834864686506, 0.03383179115918688, 0.03340058195411639]",C#5
"[281, 561, 140, 702, 420, 196, 982, 1124, 628, 841]","[1.0, 0.9046403471908383, 0.29301262805004563, 0.19106613157619978, 0.16121926231774625, 0.13055066071946067, 0.12043281216674645, 0.03922826236761184, 0.039192210554914134, 0.03339833256825465]",C#5
"[421, 280, 562, 843, 141, 702, 511, 1404, 565, 982]","[1.0, 0.23325403975541592, 0.15808938114946716, 0.06815939163396066, 0.05131771701984636, 0.047280792033044625, 0.043269038714709676, 0.02197231842431266, 0.008570032184984092, 0.007481475856479474]",C#5
"[281, 562, 141, 423, 983, 844, 841, 279, 700, 560]","[1.0, 0.854857108254109, 0.5466977737888595, 0.3575198349198467, 0.12078283964208741, 0.056964337976622606, 0.047601854249930214, 0.040576273250659683, 0.03560535782813479, 0.02516029677587553]",C#5
"[281, 421, 141, 561, 843, 701, 703, 983, 1123, 1263]","[1.0, 0.5828321667496896, 0.4536402451146264, 0.3927122737154243, 0.24253693432691784, 0.20547763523912674, 0.08974469015079367, 0.04971877104725739, 0.03637076528900249, 0.021301631881494237]",C#5
"[561, 280, 140, 842, 699, 398, 1263, 982, 1406, 424]","[1.0, 0.3941535389335542, 0.24607201485628, 0.1987937671072961, 0.1533094460782414, 0.082068149431081, 0.04828837306709764, 0.031660395681906775, 0.017043281066765423, 0.016601663402932423]",C#5
"[281, 423, 140, 842, 216, 562, 983, 701, 703, 1125]","[1.0, 0.34395065739872327, 0.28629696687919026, 0.1366467154714666, 0.11772030194140785, 0.09749502064038533, 0.06993307452724465, 0.04896504759123907, 0.03236215241416952, 0.023645589362791892]",C#5
"[421, 562, 141, 843, 282, 984, 702, 278, 1265, 1545]","[1.0, 0.45139298697608826, 0.15765454369438878, 0.07037427118302186, 0.041886788813671604, 0.03526271779789159, 0.024023620105453617, 0.016807205699212794, 0.015262930009308937, 0.01231210754322896]",C#5
"[281, 141, 562, 702, 421, 842, 1123, 560, 1405, 1171]","[1.0, 0.297773084462205, 0.210307217102137, 0.12038172337852317, 0.077885617040781, 0.07381037833710033, 0.057183219387110594, 0.03479010390593406, 0.025455243670690738, 0.017231090285185543]",C#5
"[562, 350, 422, 280, 702, 1123, 841, 140, 1263, 983]","[1.0, 0.6570037427377292, 0.41811520335879643, 0.3144586883648846, 0.20011844563808304, 0.05956156397541148, 0.04059597909811464, 0.03694083881522069, 0.03657385047301897, 0.032069085502540846]",C#5
"[421, 280, 140, 395, 561, 702, 1262, 981, 699, 446]","[1.0, 0.5844034344324143, 0.5286129204178852, 0.31680576693882123, 0.3017520904158794, 0.24631919443506398, 0.07277543385156893, 0.0716291406563255, 0.050373573181190866, 0.03666821420131774]",C#5
"[700, 140, 419, 281, 560, 558, 839, 698, 1121, 1118]","[1.0, 0.7496271198387733, 0.43903562320809436, 0.23222316774881524, 0.19084461698262245, 0.18371399092634375, 0.12850212272264752, 0.08085388991299176, 0.07794571383949904, 0.06561914700990358]",C#5
"[421, 140, 280, 283, 700, 561, 981, 559, 978, 748]","[1.0, 0.5424408150802146, 0.3541310297165172, 0.26994381541973705, 0.18776042928688322, 0.12411089679191763, 0.12151476518897873, 0.09886003644850805, 0.048706299696044654, 0.04565449459834401]",C#5
"[281, 140, 701, 195, 421, 560, 1261, 982, 562, 843]","[1.0, 0.4665262977137592, 0.42000395061227686, 0.1759364753363454, 0.1720012078565173, 0.08904841903453439, 0.07119761812487962, 0.05477251249317761, 0.04047407426536145, 0.03271721373211422]",C#5
"[420, 561, 140, 281, 841, 505, 700, 1121, 703, 199]","[1.0, 0.6139453683753341, 0.3280176242833356, 0.24285427434110413, 0.2032642783339298, 0.12973943684897563, 0.06415630933487595, 0.06324172577145958, 0.040096223381604755, 0.03973100726460647]",C#5
"[281, 140, 559, 279, 981, 420, 702, 422, 1261, 616]","[1.0, 0.9819781102681223, 0.9332737756656461, 0.8029348882855005, 0.45990159305316053, 0.44603717242124646, 0.4409369612498565, 0.292482089780895, 0.2823798901747452, 0.18792600314040256]",C#5
"[421, 280, 982, 368, 562, 841, 560, 701, 1123, 142]","[1.0, 0.49285715880274167, 0.2293811782415005, 0.14113511401528347, 0.06858570489770893, 0.052894932454361776, 0.03764645821238869, 0.03244890102033679, 0.03048074342846303, 0.024795127744062423]",C#5
"[561, 141, 420, 280, 982, 701, 1263, 843, 1125, 424]","[1.0, 0.7410895894476437, 0.46250136129976327, 0.19775916777070662, 0.19093123168114937, 0.1703221973795258, 0.036673937680494505, 0.019892599741583316, 0.015363861514606348, 0.010364172783058996]",C#5
"[281, 141, 421, 842, 638, 702, 982, 1543, 1314, 559]","[1.0, 0.47234809741899647, 0.31005287650076835, 0.16393577370752108, 0.11335071574555547, 0.06731168379724271, 0.04182682406167303, 0.014821033423522123, 0.009496051380613693, 0.008690096089361263]",C#5
"[421, 281, 141, 561, 701, 841, 981, 1121, 1261, 1264]","[1.0, 0.7528699037762978, 0.4902249499970667, 0.3851842988319363, 0.21098223617683287, 0.12783559017441837, 0.07853060891137237, 0.052163085954999605, 0.046427255825910396, 0.032425549109649614]",C#5
"[422, 418, 280, 140, 983, 808, 562, 1404, 843, 1193]","[1.0, 0.5734409192292754, 0.4168982551331395, 0.17158563858435502, 0.10914536467567536, 0.08773040887108602, 0.06973151230614123, 0.0389301163326699, 0.03105959979089701, 0.024087886571805404]",C#5
"[281, 140, 562, 421, 225, 1123, 843, 474, 705, 1404]","[1.0, 0.5142547716391115, 0.44529909610410917, 0.39449888391775956, 0.22899455668960741, 0.10427057426363612, 0.08247067095686698, 0.06853132693486594, 0.04623821868144606, 0.039051776440695435]",C#5
"[281, 140, 422, 274, 1404, 983, 420, 563, 1263, 841]","[1.0, 0.6700808391398267, 0.3143175098918395, 0.28441856011904465, 0.25654512234000526, 0.2203901521673896, 0.20929427554465063, 0.15264485384558818, 0.11373060512069118, 0.08609786914956442]",C#5
"[422, 141, 330, 842, 1123, 280, 660, 561, 1404, 947]","[1.0, 0.7188271498466667, 0.4932982514810677, 0.32964296838196366, 0.1317338398021858, 0.09626009280970223, 0.07647698748709005, 0.0705129786358185, 0.06943168338615263, 0.030339686317188204]",C#5
