10_freq,10_peak,note_played
"[327, 130, 228, 66, 195, 262, 392, 589, 456, 521]","[1.0, 0.5614778811626318, 0.4336793264421679, 0.2941609842115521, 0.289786031129013, 0.24839785469495243, 0.15457301234166743, 0.12159506693913835, 0.09395951509090521, 0.040756354121357634]",C4
"[197, 66, 329, 132, 263, 394, 460, 261, 130, 326]","[1.0, 0.9913508784784943, 0.7471311566806706, 0.4730807854627674, 0.37342471897532664, 0.2214450968576908, 0.20194990852864392, 0.13765056193556696, 0.1300133930176536, 0.12852062129523562]",C4
"[328, 261, 394, 460, 133, 67, 198, 526, 396, 462]","[1.0, 0.7554728971974457, 0.7506176679152516, 0.32496933434385633, 0.1640069877790274, 0.1349246767398029, 0.09229957503560636, 0.07889383364566432, 0.05123874345553884, 0.04103570244859682]",C4
"[131, 197, 328, 394, 65, 460, 173, 260, 263, 363]","[1.0, 0.6168648204446125, 0.4783765476851659, 0.3619923359737497, 0.2557589404870292, 0.16625771481477797, 0.13496927513537885, 0.07664127794326672, 0.07621120456562226, 0.05277929499117244]",C4
"[328, 261, 263, 128, 65, 459, 133, 197, 392, 524]","[1.0, 0.5990985558444256, 0.4353928909037809, 0.24107931303030425, 0.2202533883309701, 0.1799778484116186, 0.1159223003641044, 0.10911026127755952, 0.1030159298070763, 0.06344661393552856]",C4
"[131, 327, 66, 196, 392, 457, 263, 522, 199, 325]","[1.0, 0.6227082905376127, 0.46273386568006414, 0.42719348237504134, 0.3606986518955833, 0.20794638048394068, 0.1514260381028574, 0.1275668153413385, 0.09161916387696377, 0.045664054165121454]",C4
"[262, 392, 196, 458, 456, 326, 222, 129, 390, 522]","[1.0, 0.9752139210266135, 0.7232698552046141, 0.25558394110683064, 0.15013311276840613, 0.12713863749491394, 0.09004705136933502, 0.08752045327353744, 0.06629977974939097, 0.06092809918514583]",C4
"[196, 262, 393, 327, 65, 524, 128, 458, 264, 395]","[1.0, 0.99707898110561, 0.7446749968311642, 0.4691273629418176, 0.4514392468128116, 0.1338364479369799, 0.1138397221889886, 0.10365507749105424, 0.03501493278162568, 0.025385608999601704]",C4
"[262, 459, 66, 327, 376, 131, 395, 198, 134, 524]","[1.0, 0.8236538026934468, 0.4414173945902325, 0.4098032650654331, 0.3479611323855802, 0.2613467497111027, 0.24529612086199815, 0.18663574492611273, 0.102213858446277, 0.0994816293034945]",C4
"[197, 328, 66, 262, 393, 141, 460, 267, 402, 524]","[1.0, 0.8369565471995393, 0.8361244361405571, 0.3557932359601496, 0.2992461971709372, 0.20935979476928582, 0.19658814946170555, 0.12791767363285542, 0.06283257279909668, 0.05184336367605011]",C4
