10_freq,10_peak,note_played
"[633, 630, 628, 1252, 1250, 1262, 620, 1260, 648, 626]","[1.0, 0.9443191168030853, 0.854574324012717, 0.5902322061658389, 0.4580387346862873, 0.4228466514924528, 0.356889899379005, 0.352276538173726, 0.35127121910506426, 0.2809776760261782]",D#7
"[635, 629, 1270, 631, 645, 1251, 1259, 1281, 620, 623]","[1.0, 0.6296347289705754, 0.5131491050373089, 0.3720267128925626, 0.28943339929942247, 0.21262041903666865, 0.20353407690206618, 0.1977061360793715, 0.16530193794193246, 0.15578420198442686]",D#7
"[638, 634, 1276, 1270, 646, 644, 1272, 1284, 640, 652]","[1.0, 0.5356278373199369, 0.30287885886987564, 0.28552353015563353, 0.18375501515448686, 0.17115778311291063, 0.1693593531000152, 0.14974235108568432, 0.13210848215484422, 0.11360214314043074]",D#7
"[638, 635, 633, 1276, 629, 647, 1284, 1266, 654, 135]","[1.0, 0.8893415148721675, 0.3749907545576353, 0.3237172117282308, 0.3171323829250144, 0.23564922436153019, 0.19894069603449593, 0.17249136005749052, 0.15597780472702202, 0.1353343051842679]",D#7
"[639, 636, 631, 643, 633, 1280, 628, 647, 1255, 1283]","[1.0, 0.8650548193499682, 0.6098474703546352, 0.5928833006554727, 0.5485700332781015, 0.546724655606606, 0.4655942512689943, 0.33306231947392345, 0.3149188004780628, 0.28820462350063386]",D#7
"[643, 1287, 636, 1280, 641, 652, 1277, 634, 632, 1928]","[1.0, 0.785025489570839, 0.5463862002186489, 0.3696271311490041, 0.3331998639302574, 0.23847875144331698, 0.1992897620740778, 0.19016134922948782, 0.16413419125438247, 0.1459578273414239]",D#7
"[645, 640, 1298, 1285, 1281, 1288, 14, 636, 631, 1934]","[1.0, 0.6029953285702278, 0.30293411507498164, 0.2972814445515913, 0.2861156874488157, 0.22459434845913154, 0.2162388763174313, 0.1324260977581385, 0.12335554383133915, 0.11524271747639794]",D#7
"[1279, 641, 646, 1283, 648, 638, 1293, 1286, 652, 1289]","[1.0, 0.84406555916936, 0.4987595076976303, 0.4386669380056934, 0.3164227110765361, 0.2869520258043779, 0.2204875380435456, 0.2141829295965726, 0.20817437567526004, 0.19929277027468612]",D#7
"[645, 1290, 639, 1284, 642, 648, 1282, 1300, 1275, 1287]","[1.0, 0.7185939006341968, 0.5354183239532081, 0.483066078712785, 0.37632007775711773, 0.34827481411736316, 0.29539525987570486, 0.2544583085589138, 0.16287474641311606, 0.14352954541833673]",D#7
"[643, 1284, 641, 1282, 647, 1300, 1287, 639, 1279, 650]","[1.0, 0.7017505091694055, 0.3256501322866814, 0.2658347766362125, 0.2598131347071559, 0.22788775408345469, 0.2106529547277181, 0.13204027860346937, 0.11945908385734626, 0.09124880570774613]",D#7
"[644, 1285, 640, 1288, 1282, 1926, 1926, 1291, 13, 1293]","[1.0, 0.5109906081812647, 0.3898399864736966, 0.3364232219061726, 0.3363858984131638, 0.2524636874607813, 0.2524636874607813, 0.17135564729156852, 0.1165840062356064, 0.10766142654058988]",D#7
