10_freq,10_peak,note_played
"[600, 1200, 598, 299, 899, 1803, 1803, 903, 895, 303]","[1.0, 0.45048183052138896, 0.2802067163018023, 0.27146595065088314, 0.1741357198085956, 0.12353589599763237, 0.12353589599763237, 0.10618899189040619, 0.08933550260306466, 0.07633301076832086]",D6
"[600, 301, 901, 598, 897, 899, 1200, 1195, 1801, 1801]","[1.0, 0.6814139637328834, 0.46767709227372634, 0.4083855228192746, 0.4081479396787444, 0.18248743052490013, 0.1788199266386478, 0.17696999207170233, 0.10173244084450832, 0.10173244084450832]",D6
"[600, 595, 1197, 900, 896, 1200, 598, 300, 297, 903]","[1.0, 0.27242210037595144, 0.2633321452126273, 0.17441804309059852, 0.16154549862886555, 0.1275297308297075, 0.12129887143868551, 0.10489256462053619, 0.07466081977287582, 0.053910619636529156]",D6
"[299, 600, 899, 297, 597, 1195, 1193, 1201, 541, 1191]","[1.0, 0.45202929137350284, 0.27053056017709454, 0.21194720221748117, 0.18325587732900966, 0.17931048318380022, 0.13032160849803018, 0.09581525992254158, 0.08764685928517313, 0.046275174337238226]",D6
"[599, 900, 298, 594, 895, 597, 1202, 1192, 304, 1196]","[1.0, 0.31528701103980034, 0.29231777134619785, 0.23275692778376872, 0.19745340054800717, 0.13612390075228928, 0.09767656467834915, 0.08440796476183215, 0.07315879443493221, 0.07099485682977545]",D6
"[299, 892, 301, 900, 1193, 599, 601, 593, 902, 1196]","[1.0, 0.5265502435981402, 0.421610382392055, 0.2963896845356035, 0.24549679786276377, 0.2406027189312492, 0.21798593260618937, 0.198986758177394, 0.18937035854005216, 0.09383099566819023]",D6
"[595, 898, 297, 299, 1196, 892, 592, 1190, 1187, 602]","[1.0, 0.849078020914526, 0.6769337523203829, 0.514893693704197, 0.27172251214435045, 0.2704036325488882, 0.2334794459398303, 0.20434620498647876, 0.15819929687278422, 0.11772816626109829]",D6
"[599, 596, 298, 594, 897, 1197, 894, 1190, 1188, 892]","[1.0, 0.6924631220686305, 0.5901803622134755, 0.4782782883463496, 0.3824645872231119, 0.2702737504883127, 0.267143580048703, 0.22044746011782668, 0.20257280919148787, 0.1911888947731315]",D6
"[596, 1192, 297, 600, 301, 893, 1796, 1796, 1189, 896]","[1.0, 0.594902388115941, 0.3538126634165195, 0.23217986890053272, 0.11910293137887383, 0.11717095150704018, 0.09207871981702316, 0.09207871981702316, 0.09077321600916995, 0.08490479959594373]",D6
"[299, 596, 599, 899, 1191, 890, 901, 302, 1199, 896]","[1.0, 0.526578297826002, 0.4015210946973492, 0.244481118150356, 0.19921837291800873, 0.11922801470619077, 0.11705745340170304, 0.10533800824532386, 0.10418040669181444, 0.09973517840958478]",D6
"[598, 298, 596, 593, 896, 1189, 1196, 1192, 890, 294]","[1.0, 0.7672314641560789, 0.6533074931480644, 0.4869235721091308, 0.4202057172364251, 0.2634493105475776, 0.21961118586892156, 0.20574446425310658, 0.1627213819096153, 0.1408750436383827]",D6
"[599, 298, 896, 300, 1195, 899, 894, 1193, 1202, 1198]","[1.0, 0.366137297446594, 0.3268321282100126, 0.24779662492627322, 0.19650815069224015, 0.15797034347693578, 0.1066992582604629, 0.0985472301973335, 0.08166443458749946, 0.0722444823114916]",D6
