10_freq,10_peak,note_played
"[166, 82, 163, 248, 71, 92, 1, 78, 87, 109]","[1.0, 0.4283269833646209, 0.044722240842467356, 0.022303246943655687, 0.018226027758715922, 0.015408197708435923, 0.015256024164001698, 0.00702163923752755, 0.006521861993518548, 0.006407598000583737]",E4
"[83, 166, 249, 124, 92, 86, 101, 3, 160, 76]","[1.0, 0.2587996662108204, 0.04295024066752734, 0.04124754036116607, 0.014011734933849445, 0.012736359655292698, 0.011804862868821953, 0.010711329865005977, 0.008918232097316329, 0.008369395248265514]",E4
"[166, 84, 250, 190, 74, 87, 93, 42, 102, 123]","[1.0, 0.12945742919069197, 0.027743332414755607, 0.014209589450494086, 0.010484316913608687, 0.009440351155413806, 0.008996057084294722, 0.006865551845986525, 0.005737002387720526, 0.00571139780937308]",E4
"[83, 166, 249, 87, 332, 94, 108, 74, 112, 3]","[1.0, 0.17547280869503357, 0.021595393666607104, 0.0037093681796395534, 0.003506570182343378, 0.003283846159788728, 0.0026546593021944463, 0.0025060667307473636, 0.0021614730371645637, 0.0019395276028955437]",E4
"[166, 82, 134, 249, 1, 72, 101, 247, 61, 414]","[1.0, 0.31734468807321176, 0.22067547922447955, 0.013069730654506334, 0.012393332975474855, 0.010762620722850667, 0.007347014581611292, 0.007308285648686126, 0.004908717337078554, 0.004380792793667499]",E4
"[82, 167, 165, 80, 86, 331, 163, 248, 73, 170]","[1.0, 0.6230264888484872, 0.4632621195375182, 0.3369219014838829, 0.24123716803041353, 0.22596302878886906, 0.14389158185117237, 0.0697635789645611, 0.0635428898691367, 0.04556019769286911]",E4
"[249, 165, 82, 86, 74, 92, 84, 230, 76, 101]","[1.0, 0.449756527238261, 0.0928961978211542, 0.058614967050454644, 0.042933629062603756, 0.03090311369031208, 0.02337010518519119, 0.020105986543749746, 0.019244859313224096, 0.018463281317662037]",E4
"[83, 167, 332, 164, 91, 75, 103, 251, 98, 4]","[1.0, 0.633633687512572, 0.0536886136483487, 0.05239375264933207, 0.02900804850012952, 0.015599897931867404, 0.013989051500025078, 0.011001649449515122, 0.010857698673274184, 0.01016705345382731]",E4
"[84, 249, 333, 1, 164, 86, 90, 82, 95, 98]","[1.0, 0.0630195195195042, 0.027517439240107414, 0.02273298357538929, 0.01809857477516628, 0.01511021934205495, 0.011605162517472426, 0.0070357616911376625, 0.006903394965123305, 0.004953325932991081]",E4
"[83, 166, 250, 231, 90, 333, 1, 101, 86, 108]","[1.0, 0.29789948920389514, 0.05400501612090096, 0.008382187555846424, 0.007150050334479385, 0.006638254884753045, 0.004977565651147404, 0.004823780673733709, 0.0036583315959404306, 0.003429806532048437]",E4
"[166, 82, 85, 250, 164, 72, 175, 91, 104, 332]","[1.0, 0.0611067325392051, 0.05932538911188161, 0.018243703418457245, 0.01796695648562237, 0.014884790856529688, 0.01136650839870778, 0.004964669961543779, 0.002985352732945325, 0.0027814501059903107]",E4
"[83, 166, 86, 81, 249, 74, 2, 95, 332, 4]","[1.0, 0.2840520874371256, 0.01927086121792133, 0.013865476595331844, 0.010706898612861837, 0.00798810888424992, 0.006705955774113551, 0.005985693975340957, 0.00396113388549202, 0.0037217046473304745]",E4
"[166, 81, 145, 249, 91, 414, 331, 75, 102, 107]","[1.0, 0.11057177483433629, 0.07173181042174297, 0.026736687688018564, 0.020062343336214226, 0.007416863900806906, 0.007273815229896896, 0.007244202437025818, 0.005319488148821924, 0.004316336460803931]",E4
"[83, 248, 165, 163, 90, 330, 76, 87, 4, 105]","[1.0, 0.5219000572915401, 0.3634751174208281, 0.08220401844903434, 0.051289379032570075, 0.0512794575715513, 0.04267993485541427, 0.030959473262347388, 0.028976864149594984, 0.027044523472305626]",E4
"[332, 83, 165, 85, 81, 248, 93, 73, 163, 3]","[1.0, 0.8618435002304577, 0.30796664620739284, 0.16845941727177222, 0.11005294341044955, 0.059370961076768, 0.03565964445956402, 0.03196045123787624, 0.02586032482052053, 0.018401959059277665]",E4
"[165, 249, 84, 82, 80, 87, 332, 236, 100, 89]","[1.0, 0.5914970662356507, 0.0628647425172327, 0.05457022428543862, 0.03204467628499576, 0.017554669794579866, 0.014234894976753433, 0.013283487045100371, 0.008068525934166765, 0.0068999523700125935]",E4
"[83, 248, 165, 329, 91, 111, 81, 498, 75, 121]","[1.0, 0.28337699333178545, 0.07804926705868741, 0.028430219774682533, 0.009445602912652609, 0.006098260298405647, 0.004508264879893078, 0.004367095235018704, 0.003956085687134837, 0.003904308121572185]",E4
"[165, 82, 331, 580, 73, 160, 100, 2, 249, 104]","[1.0, 0.18653963926457082, 0.043011098326023685, 0.008717886496038699, 0.007925411623810412, 0.006933293854768787, 0.004382014110249947, 0.0035854223875955086, 0.0034244028139737647, 0.003236913625633646]",E4
"[83, 166, 249, 2, 93, 7, 333, 75, 163, 5]","[1.0, 0.2288997225724123, 0.024173054507556663, 0.006350616967060556, 0.00613422473081366, 0.00342347894729479, 0.0028430488990739927, 0.002791666144722234, 0.0020623778864653133, 0.001728974137913401]",E4
"[166, 82, 136, 332, 91, 1, 250, 248, 74, 110]","[1.0, 0.15691811894417654, 0.12300899129485993, 0.007609580947735986, 0.003984498256536906, 0.0034378354573950413, 0.0029980736827108913, 0.0026219245708814223, 0.0024594577116016834, 0.002151394946930293]",E4
"[83, 166, 248, 331, 74, 88, 163, 80, 5, 90]","[1.0, 0.19442347057636702, 0.07473557154241589, 0.06348695367445839, 0.028864079654320817, 0.02470670976240899, 0.024645782571935806, 0.017488473242918547, 0.015154329220318239, 0.011603606034643759]",E4
"[83, 165, 248, 333, 92, 4, 111, 330, 113, 2]","[1.0, 0.2508298127960151, 0.2397836364627787, 0.008784376883874637, 0.006617925606394515, 0.006236746799457192, 0.005676554169219129, 0.0042415776583015815, 0.0028658454423971073, 0.002543973875944872]",E4
"[248, 82, 164, 145, 105, 102, 166, 40, 107, 331]","[1.0, 0.5001571011279962, 0.029375453484670622, 0.00729036016549361, 0.0059945453883912215, 0.0055768729146733614, 0.00530628664188457, 0.005091256575202187, 0.005055429003542557, 0.004575429626816294]",E4
"[83, 166, 125, 248, 86, 81, 4, 93, 103, 107]","[1.0, 0.6406301582149203, 0.047542281843976485, 0.024563028706306844, 0.022453395114612956, 0.017783254662065998, 0.012278625894836241, 0.01087006970125571, 0.010397833328933676, 0.010376347752631626]",E4
"[83, 207, 165, 124, 85, 104, 249, 109, 130, 4]","[1.0, 0.2657764229331083, 0.1757806430780553, 0.07796631424864507, 0.03219139494850173, 0.016403595028783247, 0.014404896716547627, 0.01087336695869861, 0.009933016516833246, 0.009475435545451168]",E4
"[165, 249, 81, 124, 41, 332, 240, 103, 92, 90]","[1.0, 0.3694853900922613, 0.07404988112793195, 0.07206907154978973, 0.01924261974080791, 0.012251577969308284, 0.010922261977090753, 0.010405069285960387, 0.010346050198550626, 0.010094526253849096]",E4
"[83, 165, 168, 124, 42, 115, 4, 122, 331, 109]","[1.0, 0.03626832476196352, 0.032926933263075706, 0.02256228874270389, 0.013192537519292549, 0.012554033828823054, 0.010945478549498445, 0.009331633597873847, 0.008617831865535667, 0.006901718840241431]",E4
"[82, 166, 85, 164, 80, 102, 73, 111, 131, 162]","[1.0, 0.9474092197874739, 0.6855253368682924, 0.2038543596154253, 0.10211355240114567, 0.08690106870428589, 0.08572794121457945, 0.07644950510319773, 0.04876084002638675, 0.0449313420782452]",E4
"[82, 165, 72, 245, 113, 104, 145, 40, 327, 119]","[1.0, 0.6037371000939572, 0.04021647480344995, 0.028560512602335643, 0.01797212733995524, 0.017490167376136366, 0.010962645927212345, 0.010457932144307862, 0.0101587750737405, 0.010054236284817256]",E4
"[82, 165, 249, 112, 123, 72, 218, 115, 5, 134]","[1.0, 0.18005714095046815, 0.028157082529899704, 0.009109460082610812, 0.007900392562767885, 0.0070023108856316066, 0.0069657462753958555, 0.006902250279036304, 0.004684577802353649, 0.004263694031339121]",E4
"[83, 1, 205, 9, 112, 163, 81, 17, 92, 127]","[1.0, 0.14901143822651322, 0.07410587349811887, 0.013854958838102624, 0.011664961607395295, 0.010714041458408168, 0.00958261280061439, 0.009247376637253949, 0.008193804400335894, 0.00759940702334057]",E4
"[83, 83, 2, 2773, 46, 46, 124, 124, 12, 12]","[1.0, 1.0, 0.580103175747005, 0.04823757431852889, 0.017888219183557284, 0.017888219183557284, 0.014958969401336489, 0.014958969401336489, 0.013969487049586215, 0.013969487049586215]",E4
"[174, 260, 86, 433, 95, 258, 274, 348, 172, 521]","[1.0, 0.12510003195323635, 0.1178625949868844, 0.1051011383845039, 0.10216657444427331, 0.04243323650592152, 0.037471389932587536, 0.03193363103751533, 0.026880091805004048, 0.022065754765994983]",E4
"[175, 347, 109, 86, 520, 260, 264, 694, 432, 607]","[1.0, 0.38500019308739625, 0.30247105689643505, 0.18246216343068358, 0.18076525397460094, 0.17319863284750295, 0.07892111058246407, 0.07608528590619477, 0.07525012579971925, 0.033878260118998076]",E4
"[261, 87, 173, 213, 435, 347, 397, 521, 694, 558]","[1.0, 0.3587005039509251, 0.2448858187349703, 0.13030126265889652, 0.10768903212862604, 0.06567995733438839, 0.03153294192932709, 0.01306839690130515, 0.00625261636143951, 0.003137108640345476]",E4
"[260, 173, 348, 435, 86, 522, 346, 609, 350, 696]","[1.0, 0.5218082064784533, 0.26541132365254044, 0.05842440371277289, 0.029825010208198045, 0.025565199519276455, 0.02365358178608641, 0.0156323169201548, 0.00771467819113248, 0.00697997491576375]",E4
"[348, 87, 173, 261, 522, 235, 434, 482, 263, 783]","[1.0, 0.4127163619193029, 0.11672251014310975, 0.09749821068071132, 0.08182224093760858, 0.03424406914273941, 0.02336644417641321, 0.011152092857812178, 0.005232418962545654, 0.004779547340147557]",E4
"[348, 173, 261, 218, 435, 86, 608, 695, 521, 1912]","[1.0, 0.7225713874114772, 0.26358924752044893, 0.061290054027715556, 0.05952974401281213, 0.057250706869542166, 0.019834525284184796, 0.014414390592336698, 0.007275731586226677, 0.003964638754909503]",E4
"[87, 435, 260, 346, 173, 521, 608, 388, 175, 869]","[1.0, 0.7590505079083066, 0.5743738257138719, 0.16098146620215723, 0.15462508141494594, 0.04999942589681894, 0.03147807621055859, 0.024316716095950982, 0.02070244454469179, 0.018627764322767477]",E4
"[174, 261, 118, 522, 347, 433, 86, 435, 695, 1129]","[1.0, 0.26957306883932136, 0.2654276930270801, 0.15185125477710218, 0.1423328825088243, 0.04369210507226257, 0.04256596641970441, 0.011638021509976035, 0.008545935278990056, 0.003977185774413452]",E4
"[174, 87, 261, 434, 609, 347, 521, 582, 869, 349]","[1.0, 0.19962187632848755, 0.13814085431114817, 0.09678583409411658, 0.06949336438064786, 0.023475698203795043, 0.010116374264101686, 0.005461318620333762, 0.004423622056912071, 0.0034062623035963154]",E4
"[174, 348, 260, 302, 90, 521, 86, 695, 559, 433]","[1.0, 0.3328625011977298, 0.1668563580129783, 0.0860169526962978, 0.04930778041376775, 0.02457529828683761, 0.011136490821773344, 0.010769033784699678, 0.0072932003929507706, 0.006181708427459881]",E4
"[174, 261, 113, 348, 435, 607, 86, 781, 694, 520]","[1.0, 0.6002946605048823, 0.3660022419404628, 0.22185785761789545, 0.18318111938417259, 0.09889147438679317, 0.09825200898534549, 0.037702916684615936, 0.014018723313759324, 0.012810039667425655]",E4
"[261, 87, 173, 213, 347, 521, 401, 1042, 436, 696]","[1.0, 0.44541700120070676, 0.36729875463221584, 0.2565772898789946, 0.16409188710471603, 0.10779373937529858, 0.07607977793313851, 0.009051534798689892, 0.008579792328427394, 0.0035920189174703148]",E4
