10_freq,10_peak,note_played
"[372, 185, 374, 376, 189, 559, 379, 369, 561, 930]","[1.0, 0.4399121596792523, 0.27117729475675767, 0.2336519928902719, 0.20366564325306577, 0.1642645867574324, 0.0709465273524498, 0.060324329133575806, 0.05688653823783361, 0.035831519243906394]",F#5
"[372, 557, 189, 559, 1115, 743, 1487, 370, 746, 380]","[1.0, 0.24769211336206978, 0.19158421328055622, 0.14096169978135242, 0.05926251205898893, 0.03317841568494584, 0.014044854742141184, 0.013939818426419103, 0.01352798849615059, 0.01231487586267924]",F#5
"[187, 375, 372, 561, 746, 377, 189, 380, 749, 554]","[1.0, 0.6472833663416746, 0.46024443663248166, 0.13361281793563615, 0.10868491137705165, 0.035611181067657184, 0.0267145165827734, 0.021435326434948027, 0.014937141214899183, 0.014666285783597783]",F#5
"[376, 189, 374, 561, 563, 1124, 558, 748, 371, 380]","[1.0, 0.2695410671964609, 0.14020060190799316, 0.10118256000857449, 0.096471659630288, 0.026595951962873524, 0.025371860622975334, 0.023614803706984138, 0.022253959852292164, 0.011092461357541364]",F#5
"[187, 560, 748, 371, 563, 401, 491, 1308, 183, 216]","[1.0, 0.143651086940217, 0.05289210202773271, 0.0456110998862654, 0.03624358741535692, 0.02008650497493524, 0.01116915478937165, 0.010575106668716886, 0.008993303143284413, 0.00891086437112533]",F#5
"[373, 560, 186, 747, 1121, 556, 402, 369, 158, 398]","[1.0, 0.490763862822089, 0.18888535402534581, 0.1259638350279975, 0.0202014381339065, 0.01019643286899869, 0.0076719131240677455, 0.006801389151021315, 0.0050439446569401185, 0.00424893637708839]",F#5
"[187, 559, 373, 1122, 744, 369, 375, 561, 1120, 934]","[1.0, 0.2913694900587641, 0.24007655339014525, 0.03582971481443866, 0.015797511249053597, 0.012862260436161628, 0.011497362481122198, 0.009535291092039997, 0.005932434480315607, 0.005643147497491915]",F#5
"[374, 301, 186, 747, 558, 377, 562, 1120, 749, 1492]","[1.0, 0.6165933806972392, 0.28128849890180047, 0.14236745622848462, 0.05775139507013473, 0.050311525548078634, 0.03793588914622387, 0.02026190965355409, 0.012542386555085062, 0.007907440617025467]",F#5
"[186, 373, 314, 562, 558, 745, 1117, 1120, 929, 932]","[1.0, 0.8478375473042816, 0.29347135738390184, 0.21726261916588485, 0.08978424410446598, 0.037647112746281165, 0.019801344085804022, 0.015106334739818502, 0.01168251485651733, 0.010730596746631498]",F#5
"[186, 558, 371, 556, 369, 471, 184, 743, 1115, 367]","[1.0, 0.6387863689200055, 0.23486413451776697, 0.13080281504852065, 0.05520168373328336, 0.034152437182923566, 0.03390249590692539, 0.031067387562065656, 0.027344354364867554, 0.014556182263256884]",F#5
"[186, 558, 371, 556, 373, 745, 735, 743, 929, 1116]","[1.0, 0.4841047738569161, 0.26223171887559865, 0.0899059496500811, 0.04300843680029077, 0.03703062843593817, 0.020312966881021695, 0.014269702180117003, 0.007258221912560195, 0.00655790210212185]",F#5
"[556, 186, 370, 927, 741, 554, 374, 1485, 368, 1114]","[1.0, 0.8220857762613302, 0.16341897623458768, 0.04896435988042795, 0.03741502406820232, 0.017824922683352448, 0.01404405435412245, 0.010444587754129058, 0.009868273898642251, 0.009201426382662007]",F#5
"[371, 373, 185, 560, 557, 187, 929, 743, 1488, 746]","[1.0, 0.49322781640737734, 0.21994168148637938, 0.1486072398934925, 0.11298258213075284, 0.08810342769049886, 0.02814978079328526, 0.020485127002995318, 0.011812990432584087, 0.007604293988911734]",F#5
"[187, 373, 559, 747, 548, 370, 613, 931, 933, 396]","[1.0, 0.4269232454653197, 0.17285947410488145, 0.12066267656898698, 0.08880538027740849, 0.0429724657821958, 0.022148258631140373, 0.013221435217174626, 0.0116281144764034, 0.005721211530217067]",F#5
"[374, 186, 366, 746, 558, 376, 1120, 555, 323, 742]","[1.0, 0.6487207257231429, 0.5168711301384467, 0.2831434420158279, 0.08505382189835135, 0.058138994983867695, 0.0147279205814535, 0.009394528163236826, 0.005890015058768, 0.005072157514201835]",F#5
"[373, 186, 561, 746, 311, 931, 563, 1120, 403, 1118]","[1.0, 0.8217697819211994, 0.1490581763133998, 0.05241738766126823, 0.03773004645121008, 0.031169013166513222, 0.013418818667182341, 0.011498520144675046, 0.010007750763401213, 0.009148093605945613]",F#5
"[372, 559, 187, 745, 556, 1304, 519, 562, 932, 743]","[1.0, 0.5516413512574002, 0.10991640348591868, 0.06004573728268489, 0.054338229197227854, 0.01842863135824725, 0.008222821814605367, 0.0058885973211374384, 0.005342143602219668, 0.00474099863060917]",F#5
