10_freq,10_peak,note_played
"[181, 179, 362, 360, 185, 357, 172, 175, 168, 543]","[1.0, 0.26995059173265296, 0.24619075908916488, 0.06830382098148247, 0.05331696893836214, 0.03136856084802732, 0.028057491420099032, 0.017708583025789804, 0.01677439872280449, 0.014556504723389166]",F5
"[181, 363, 178, 360, 546, 282, 367, 173, 542, 724]","[1.0, 0.1630866205124333, 0.13133375534609026, 0.0436005801994238, 0.023164511955346176, 0.02052800480466301, 0.017172725155139377, 0.012438387919083497, 0.009880246771981242, 0.004190798778387219]",F5
"[360, 180, 364, 178, 182, 358, 546, 541, 176, 722]","[1.0, 0.6806232035445977, 0.24802911669271122, 0.15957345501351491, 0.06870183253795974, 0.06521672830117435, 0.05475554373910577, 0.045047937803103226, 0.03685318588131226, 0.015725224864879164]",F5
"[181, 363, 184, 546, 361, 543, 359, 178, 726, 366]","[1.0, 0.7381261947385623, 0.19065092451535467, 0.102742356998338, 0.09305258760727889, 0.055291416094979166, 0.05239050317558995, 0.0506338335507917, 0.02825711943061745, 0.018930989792717436]",F5
"[182, 545, 361, 420, 547, 726, 364, 179, 728, 357]","[1.0, 0.16626604077943988, 0.03615964514037387, 0.028040582229978208, 0.01477497676263056, 0.011706054089345818, 0.010469569506484302, 0.007702722921307121, 0.004849795211750623, 0.001584052666423588]",F5
"[181, 363, 360, 183, 726, 365, 548, 498, 728, 723]","[1.0, 0.6734468431068611, 0.20098093029620615, 0.15139503350574343, 0.05604953933918146, 0.04524817580909953, 0.0386245866501668, 0.019791909845190414, 0.019124130461691202, 0.015898344286413953]",F5
"[366, 181, 360, 548, 310, 363, 543, 725, 727, 731]","[1.0, 0.5921170746286546, 0.16501269405445612, 0.06041638947018748, 0.027429129900652723, 0.026627590586006493, 0.023246230596342513, 0.017788506051204682, 0.01239128925252141, 0.011506531143619617]",F5
"[182, 363, 543, 185, 725, 361, 179, 545, 548, 366]","[1.0, 0.2347695332401251, 0.1296470082813407, 0.11338280113596025, 0.06684503870605804, 0.04673798863227939, 0.03600065393336203, 0.033771111902525054, 0.03247070460223062, 0.030590936117532736]",F5
"[182, 364, 185, 180, 548, 362, 545, 543, 726, 604]","[1.0, 0.16193166422243802, 0.0610072432682365, 0.029603892145062635, 0.028207146490010732, 0.027950441644845746, 0.01864534874849755, 0.01691719986892791, 0.011549282228472077, 0.006943833874513225]",F5
"[182, 361, 548, 179, 545, 185, 526, 364, 726, 177]","[1.0, 0.1285878725850402, 0.06102889598745642, 0.045432524104021925, 0.036437240391223466, 0.024548574058383833, 0.024482190023796375, 0.013402744193640743, 0.010066890169333242, 0.00969310044155334]",F5
"[363, 181, 726, 183, 543, 179, 360, 908, 547, 468]","[1.0, 0.40045695639537354, 0.16628122342858714, 0.08933227580026237, 0.06837513030601064, 0.04109075727439304, 0.03852165763802496, 0.02437244451679381, 0.015129617217618692, 0.011393273023125119]",F5
"[364, 180, 183, 729, 361, 544, 178, 547, 726, 367]","[1.0, 0.11710770362778325, 0.07775990609098128, 0.060288785594921186, 0.0397854113517033, 0.03716532399740659, 0.028534340075237256, 0.016804390446453408, 0.011306255487555632, 0.009179949685744858]",F5
