10_freq,10_peak,note_played
"[208, 102, 201, 107, 95, 520, 315, 518, 128, 205]","[1.0, 0.6288325450732329, 0.2402277933384834, 0.1651530166817064, 0.06563214893166683, 0.060971917488109637, 0.020229952074322096, 0.01814209384325646, 0.017539359891787183, 0.01720157938419711]",G#4
"[103, 207, 204, 100, 622, 210, 311, 414, 518, 4]","[1.0, 0.9062291463116863, 0.02536080193645453, 0.01575954575990449, 0.007439158152413787, 0.0038375885036299215, 0.003760914090776067, 0.0036539235860837877, 0.003094008089541452, 0.00195322054811879]",G#4
"[208, 102, 202, 313, 99, 418, 622, 235, 211, 316]","[1.0, 0.05646793701916966, 0.019876357362553436, 0.01808756934864747, 0.010492122655888548, 0.0073474405631148414, 0.0038158503717229545, 0.00368515926500601, 0.003397598123047649, 0.003244527266633508]",G#4
"[105, 208, 102, 312, 107, 417, 315, 116, 203, 92]","[1.0, 0.11529749257660105, 0.05457281843229414, 0.03039418336357575, 0.02697785783416625, 0.0060639315255826744, 0.004433090115044537, 0.004322982611362938, 0.0038726630576895486, 0.002256204044109686]",G#4
"[107, 312, 102, 205, 211, 416, 208, 624, 110, 113]","[1.0, 0.034073499832202404, 0.019805286866993108, 0.015494942573631938, 0.010548127628256713, 0.005243588267253861, 0.003964694718247901, 0.003040223928849766, 0.002363062911378948, 0.0022048803052438005]",G#4
"[106, 210, 103, 312, 416, 114, 624, 168, 157, 129]","[1.0, 0.05882227063873464, 0.01592770839702214, 0.006663942072887858, 0.005404700158242901, 0.003155024527999521, 0.002874523124946665, 0.002244959211920857, 0.001760130914832965, 0.0013233154509317941]",G#4
"[105, 209, 207, 313, 212, 108, 311, 417, 165, 151]","[1.0, 0.1662790318618714, 0.019821138136385606, 0.008217709930382133, 0.005152184257736912, 0.004246490102092678, 0.002619027151710131, 0.0013940030861093642, 0.0011044612221234274, 0.0010796458406422795]",G#4
"[106, 210, 109, 314, 418, 312, 169, 118, 111, 203]","[1.0, 0.08438093517670325, 0.007247859981289856, 0.006403826499397281, 0.00498220904291836, 0.003984247158333148, 0.003070438481241461, 0.0027993942809730393, 0.0026433797328054088, 0.002414801533180048]",G#4
"[208, 106, 312, 416, 100, 102, 206, 113, 520, 158]","[1.0, 0.10367393180437116, 0.06230237861079667, 0.020858624734261078, 0.02031128809826851, 0.018333172576766144, 0.010896026521681099, 0.009888961058126932, 0.009469635240087693, 0.007822199253063055]",G#4
"[208, 312, 104, 106, 102, 210, 108, 416, 100, 111]","[1.0, 0.19677442761853162, 0.17761756555457456, 0.1457020286596738, 0.05390818564055977, 0.03771282692060357, 0.03285092637160868, 0.0289461816731227, 0.020667278615765502, 0.014452357554658882]",G#4
"[104, 208, 314, 205, 115, 521, 253, 418, 171, 155]","[1.0, 0.47587530505977427, 0.15780137088341378, 0.0098085238408103, 0.007501925880755478, 0.006548283585672589, 0.006372266200804168, 0.005855307012860895, 0.004896252410080043, 0.004879031279086786]",G#4
"[104, 208, 313, 417, 129, 239, 626, 173, 152, 185]","[1.0, 0.3187910072471774, 0.03017209269107552, 0.003678112308267243, 0.0032982393758583715, 0.002801752224649929, 0.0023182369879896107, 0.0020752317007017586, 0.0020326609586759532, 0.00197405489336738]",G#4
"[104, 209, 207, 106, 157, 211, 312, 416, 122, 198]","[1.0, 0.08929732583392405, 0.0670852341603168, 0.008170357818347745, 0.00743088154099296, 0.00416605465122991, 0.002838293369095193, 0.002404904835338094, 0.00202605881788708, 0.0018475942292513995]",G#4
"[104, 209, 169, 312, 416, 92, 108, 521, 99, 162]","[1.0, 0.12496101282186974, 0.063312893180122, 0.0060245812120132665, 0.0032270562409233107, 0.0027575682835201142, 0.0026878572632595596, 0.0019619773516359436, 0.0015589211685809936, 0.0014615256868136797]",G#4
"[104, 209, 162, 833, 312, 173, 128, 116, 167, 11]","[1.0, 0.26699503438071703, 0.11508826426989437, 0.006227537688389502, 0.006177273697158881, 0.0016881826267936375, 0.0014664450481601968, 0.0013835186016011144, 0.0012327658145245331, 0.0012278825052814512]",G#4
"[104, 209, 205, 417, 100, 313, 131, 310, 196, 173]","[1.0, 0.32033137380739884, 0.04201694005921075, 0.006361713213474683, 0.006250638537777934, 0.0036927920855258467, 0.003109031332056508, 0.0026068023639677774, 0.0020660502447015345, 0.0019434889819145036]",G#4
"[208, 313, 107, 105, 109, 522, 101, 205, 113, 13]","[1.0, 0.7086211410035221, 0.2006762242124928, 0.08913259848267466, 0.027936881362959475, 0.020630839945668594, 0.014316101041365265, 0.013453005696073099, 0.011827840962981728, 0.010134489101928013]",G#4
"[105, 209, 207, 211, 626, 172, 315, 311, 418, 3]","[1.0, 0.05710256714410371, 0.015680731223089963, 0.01422189355042843, 0.004325538315004621, 0.002160745869874282, 0.0019004981754807374, 0.0018703585045737497, 0.001387751292838654, 0.0013461691667167983]",G#4
"[105, 209, 313, 102, 206, 172, 5, 417, 156, 521]","[1.0, 0.14650331268077435, 0.00923580908551181, 0.003633846347698189, 0.0017112271265359177, 0.001643792862366246, 0.0013964617938948653, 0.00116111125868642, 0.0011533788711133078, 0.00106018775803565]",G#4
"[105, 311, 208, 102, 108, 624, 206, 210, 95, 117]","[1.0, 0.14667628457892412, 0.10592924440616548, 0.053178861255694494, 0.042406035289619545, 0.02495537517189007, 0.021205842314098965, 0.017020773736658733, 0.005983866686365363, 0.00524357654729473]",G#4
"[104, 208, 313, 119, 522, 939, 154, 417, 14, 163]","[1.0, 0.5583886073249266, 0.142843258130351, 0.0050641859282629835, 0.003782295019116403, 0.0037049725339620273, 0.002929147949869447, 0.002781730075569106, 0.0027667886342960285, 0.002694160612179757]",G#4
"[104, 209, 185, 522, 115, 167, 162, 5, 240, 835]","[1.0, 0.7149513589958532, 0.056144917678619954, 0.012731484643762956, 0.0029807585899390985, 0.0020687029900715572, 0.0018338638673830651, 0.0017676568196144736, 0.0015322641588958875, 0.0015195516842083521]",G#4
"[104, 208, 313, 101, 206, 107, 93, 114, 109, 4]","[1.0, 0.5901040456944102, 0.33041638683681473, 0.057233061899602505, 0.03267942432316922, 0.02120907201797223, 0.013715452128316026, 0.011296938845157223, 0.010811975132642789, 0.008424396098571126]",G#4
"[105, 417, 208, 236, 117, 141, 93, 186, 144, 150]","[1.0, 0.0474396635622129, 0.02786157720312018, 0.010395216526769838, 0.0033664273788252563, 0.0027235999062175335, 0.002455213855056303, 0.0020981774218791476, 0.0018762589376094942, 0.001842825952257178]",G#4
"[105, 209, 313, 94, 625, 163, 144, 178, 115, 186]","[1.0, 0.1319537188225782, 0.00827603332249803, 0.0018982976654064565, 0.001462686162942491, 0.0013561049882178289, 0.0012874318980357336, 0.0012505979971497326, 0.0011876703304327092, 0.0011302021797489439]",G#4
"[105, 209, 103, 207, 416, 114, 123, 198, 14, 94]","[1.0, 0.09983439411259032, 0.03322328335378597, 0.016378207316729655, 0.003040532982954432, 0.0029346128655905646, 0.002311712296372635, 0.0019816667151651736, 0.001870414748049134, 0.001821410363255631]",G#4
"[211, 104, 208, 102, 205, 629, 118, 144, 130, 169]","[1.0, 0.8886915600447657, 0.7789073730182052, 0.21338835888074936, 0.08833949981149572, 0.028934380181457015, 0.02436367316734523, 0.020888665869384742, 0.019620776931276077, 0.01427080471214674]",G#4
"[209, 104, 314, 227, 203, 174, 236, 217, 213, 626]","[1.0, 0.7140865133691644, 0.023589693855850257, 0.0032745122997204527, 0.0023210699739532443, 0.0017939401110337494, 0.0016021468113287468, 0.0015646751620784693, 0.0015158755772634422, 0.001502729370947883]",G#4
"[105, 212, 208, 116, 314, 177, 245, 167, 140, 219]","[1.0, 0.40487401008896995, 0.05402366165502161, 0.010647632379802182, 0.009696469790778553, 0.006785113875355433, 0.006017465796780515, 0.005489282358050423, 0.0047829659633681415, 0.004747152472270879]",G#4
"[105, 209, 313, 628, 174, 233, 116, 418, 15, 12]","[1.0, 0.07367398830404127, 0.019733373733893337, 0.0038051962381960716, 0.0013765342155219764, 0.001148414418290293, 0.001030154379224987, 0.001007955792362336, 0.0009720115588413231, 0.0009673750312349043]",G#4
"[208, 104, 210, 189, 628, 213, 167, 13, 145, 136]","[1.0, 0.46728053997541874, 0.031740038225638596, 0.010111879924833133, 0.007489223668853429, 0.0038280383426159696, 0.002800780537108134, 0.002392447111124926, 0.0023455408822543175, 0.0023374461721539434]",G#4
"[210, 104, 171, 102, 106, 628, 119, 115, 137, 179]","[1.0, 0.386877043728674, 0.3614186315385709, 0.17574045925547793, 0.04123478394890833, 0.02559148529418857, 0.01624520805509687, 0.012075327748997637, 0.00820070088372083, 0.007387638533702963]",G#4
"[105, 209, 207, 313, 418, 130, 224, 174, 120, 159]","[1.0, 0.07636808446847125, 0.012161091820970209, 0.009694343032170864, 0.003705074703519242, 0.0023173369457575644, 0.001355006831992287, 0.0013196674245808844, 0.0010375837349566482, 0.0010154689931953901]",G#4
"[210, 104, 185, 418, 732, 116, 125, 130, 154, 627]","[1.0, 0.512133732074239, 0.2561132194031133, 0.01171963538356718, 0.008326680626861822, 0.00828700035895686, 0.006977134085251685, 0.006538769315664405, 0.00504201386883266, 0.004831281931260459]",G#4
"[209, 104, 627, 205, 122, 133, 129, 227, 167, 732]","[1.0, 0.6466054415823898, 0.011536186243241946, 0.003679974536444721, 0.0031844258070807675, 0.002936346695648146, 0.002773772123088456, 0.0026110007428650204, 0.0026085131855337275, 0.0025778904279587225]",G#4
"[105, 210, 208, 314, 420, 732, 131, 216, 180, 125]","[1.0, 0.02782952689736438, 0.01362800694949204, 0.00498335021295659, 0.0024023305375438075, 0.0022194441290823734, 0.002104943817779025, 0.0017516134985140258, 0.001580742268212577, 0.0014530844566080928]",G#4
"[105, 210, 111, 314, 208, 419, 118, 172, 14, 129]","[1.0, 0.06927868320543315, 0.009606015578076601, 0.007582414000824985, 0.007431350935010091, 0.00491721282004563, 0.004594933432441657, 0.004233230860146575, 0.004198682870716553, 0.0036460899802373036]",G#4
"[209, 104, 314, 14, 732, 171, 627, 159, 418, 214]","[1.0, 0.5502076231165405, 0.02958025760135842, 0.003195303571894549, 0.00256420743469268, 0.0020028204718388672, 0.0018106686595278341, 0.0016946241795712327, 0.001606434635801105, 0.0013768558065521568]",G#4
