10_freq,10_peak,note_played
"[100, 91, 47, 41, 148, 87, 102, 140, 1, 105]","[1.0, 0.6461357900930909, 0.4339133353505236, 0.2520477221605244, 0.158114443311629, 0.06574774725260235, 0.057661803731881754, 0.0427392069739718, 0.04184191420635476, 0.02546844209680159]",G3
"[99, 49, 56, 148, 97, 46, 40, 101, 6, 108]","[1.0, 0.825738414894443, 0.3152451334383435, 0.08683524700282282, 0.045914504247708786, 0.038658511057498963, 0.03578292678327456, 0.02602111526311323, 0.017659430886587023, 0.01388376877503502]",G3
"[50, 98, 147, 244, 10, 94, 100, 13, 6, 144]","[1.0, 0.15901679994345838, 0.15773155734063207, 0.0284622880009634, 0.01388917555657441, 0.010986909288082821, 0.007326367706611493, 0.0066538152968800375, 0.005405949194056947, 0.0037402993427203997]",G3
"[49, 98, 147, 2369, 2369, 95, 1, 10, 13, 46]","[1.0, 0.5814546907337148, 0.252263484784111, 0.053990805802912656, 0.053990805802912656, 0.02210497751514253, 0.00804080771156416, 0.005694171059323045, 0.0037622149432381805, 0.003570850998181658]",G3
"[50, 98, 148, 101, 10, 145, 246, 106, 95, 53]","[1.0, 0.18902210142360823, 0.16727101240483389, 0.03568175900672006, 0.020437508238929494, 0.01911273505063689, 0.01035963606791282, 0.006951903294855957, 0.0067659774509504, 0.0058761688446591935]",G3
"[99, 49, 148, 52, 106, 146, 102, 64, 246, 97]","[1.0, 0.411466522084389, 0.25423298705111447, 0.12104281364560215, 0.01891342136613371, 0.01716190854735136, 0.01555428361801467, 0.013414612923440844, 0.00922945438168274, 0.009206462096997613]",G3
"[99, 49, 72, 147, 246, 1, 52, 14, 55, 11]","[1.0, 0.5088668440621423, 0.1804527412863361, 0.019400250569319134, 0.016936868264011723, 0.012157058090215328, 0.008161879555172396, 0.0075596308737841, 0.007195744056908998, 0.005959466475045954]",G3
"[50, 147, 246, 97, 15, 101, 105, 94, 19, 7]","[1.0, 0.1279463883979119, 0.06618318849024084, 0.025542466693934077, 0.009445228157513199, 0.00875863507951825, 0.005851108689669023, 0.004912630681235999, 0.003944342268904374, 0.003318441620212633]",G3
"[49, 98, 147, 246, 10, 3, 8, 295, 149, 18]","[1.0, 0.5807759790898521, 0.2782323488741628, 0.02897599570353761, 0.006038498724815105, 0.00462438939062627, 0.003144316575718324, 0.0020639441348263973, 0.0019888595306893097, 0.0019117520367833902]",G3
"[50, 148, 98, 101, 145, 94, 103, 13, 151, 7]","[1.0, 0.15904957367427341, 0.10340803308466345, 0.014837121559949236, 0.01371693362732791, 0.007673542534725211, 0.007041607017706216, 0.005252874920223765, 0.004729562766137947, 0.004143449542208698]",G3
"[99, 148, 52, 9, 46, 48, 62, 56, 17, 4]","[1.0, 0.1419559715385103, 0.04989663112120616, 0.013384139001600725, 0.013319595478762365, 0.010229193889756556, 0.006973804746977809, 0.006518418432065066, 0.006029540009705677, 0.004826077833648373]",G3
"[49, 99, 148, 90, 101, 97, 8, 1, 247, 12]","[1.0, 0.45278285328192786, 0.13408189423537248, 0.06789133506285464, 0.026651989662636426, 0.012705759555823736, 0.007481885469128678, 0.006847383674201491, 0.006011880913496329, 0.004923139921840725]",G3
"[50, 148, 98, 1, 140, 247, 12, 122, 75, 145]","[1.0, 0.3562275782414525, 0.19758879701695856, 0.005641893222343204, 0.004623073079703731, 0.0034056452250113486, 0.002534506852977433, 0.00202646528410867, 0.0014913046743299868, 0.001483985471915835]",G3
"[99, 49, 96, 148, 73, 9, 246, 105, 145, 51]","[1.0, 0.9249677671554226, 0.15583949784605775, 0.12489288868861437, 0.027366126313826893, 0.01610943937101892, 0.012541765062600322, 0.012144533336617342, 0.011685224645926364, 0.010805657551451804]",G3
"[49, 99, 96, 148, 102, 80, 1, 8, 150, 51]","[1.0, 0.8618480515372607, 0.1342480307666174, 0.08566581404213412, 0.024865871442335593, 0.02186236736378954, 0.015400231260217815, 0.00928171160162334, 0.008555211299816255, 0.007848199182495498]",G3
"[50, 148, 98, 10, 146, 8, 247, 5, 16, 66]","[1.0, 0.32958895497670904, 0.18120034061731746, 0.005403384155580119, 0.004291977427143001, 0.0035685068508044893, 0.003196911399014396, 0.0028431639906107728, 0.002713114168615697, 0.001533847777425554]",G3
"[99, 49, 72, 148, 97, 52, 151, 102, 249, 13]","[1.0, 0.7601215872602204, 0.12240832542068644, 0.11013464493086637, 0.06079211558625917, 0.02292095773173852, 0.020510537776461574, 0.017328917961507057, 0.008772403935329524, 0.00861167494563143]",G3
"[49, 99, 76, 148, 151, 146, 97, 9, 16, 13]","[1.0, 0.8456023846758652, 0.13187718648752503, 0.08676298898212458, 0.016003485931065653, 0.013880551045494734, 0.008916082200105695, 0.008764857139840682, 0.006566722321964906, 0.004505450068072702]",G3
"[50, 148, 98, 96, 247, 14, 11, 16, 8, 22]","[1.0, 0.33975111559922594, 0.12347686676590329, 0.010216236324279496, 0.005294232813526145, 0.005246868524701977, 0.004360427038563746, 0.002856535999255319, 0.002122636546194728, 0.001786553226508788]",G3
"[99, 49, 96, 148, 72, 51, 195, 145, 16, 10]","[1.0, 0.5870953166340588, 0.242032817391753, 0.12926987548159397, 0.03353939326104673, 0.01457895250998359, 0.01099452904266502, 0.008975241866558141, 0.008698618290018835, 0.008034040310176743]",G3
"[49, 148, 99, 93, 105, 102, 247, 13, 150, 145]","[1.0, 0.6610119591040293, 0.08344484572696648, 0.05259628636026953, 0.019032791262522348, 0.014073877622767152, 0.012063393014566815, 0.010017135406166024, 0.007728500572709884, 0.006852277295191943]",G3
"[50, 148, 98, 13, 56, 104, 3, 141, 15, 8]","[1.0, 0.2866330890260616, 0.1629636084440028, 0.0100919793336495, 0.007214125996002745, 0.0070181470669842564, 0.006741303165524394, 0.0048494062575485395, 0.004250816384670537, 0.00344889437624161]",G3
